record_id,study_id,year,arm_id,analysis_node,analysis_node_label,outcome_family,quantitative_outcome_slot,analysis_measure,reported_pct,analysis_pct,events_reported,events_analysis,total,timepoint_years,timepoint_type,direction,derivation_note,source_page_or_table,source_evidence
SCR00017,Kritfuangfoo 2026,2026,overall,mixed,Mixed/unclear,metastasis,secondary_5y_metastasis,5y_metastasis,22.2,22.2,,24,106,5.0,kaplan_meier,higher_worse,reported_event_rate,Table 5,Systemic metastasis 5 years 22.2 +/- 5.6.
SCR00017,Kritfuangfoo 2026,2026,overall,mixed,Mixed/unclear,overall_survival,secondary_5y_overall_survival,5y_overall_survival,78.2,78.2,,83,106,5.0,kaplan_meier,higher_better,reported_survival,Table 5,Overall survival 5 years 78.2 +/- 5.4.
SCR00017,Kritfuangfoo 2026,2026,overall,mixed,Mixed/unclear,disease_specific_survival,secondary_5y_disease_specific_survival,5y_disease_specific_survival,81.6,81.6,,86,106,5.0,kaplan_meier,higher_better,reported_survival,Table 5,Disease-specific survival 5 years 81.6 +/- 5.2.
SCR00062,Kim 2025,2025,arm_cirt,CIRT,Carbon ion,overall_survival,secondary_5y_overall_survival,5y_overall_survival,81.0,81.0,,156,192,5.0,kaplan_meier,higher_better,reported_survival,Page 3 and Figure 1,"5-year OS (CIRT: 81.0%, 95% CI 75.2%-87.2% vs SABR: 70.9%)."
SCR00062,Kim 2025,2025,arm_sabr,Photon_SRS_FSRT,Photon SRS/FSRT,overall_survival,secondary_5y_overall_survival,5y_overall_survival,70.9,70.9,,45,64,5.0,kaplan_meier,higher_better,reported_survival,Page 3 and Figure 1,"5-year OS SABR: 70.9%, 95% CI 60.0%-83.9%."
SCR00062,Kim 2025,2025,arm_cirt,CIRT,Carbon ion,local_recurrence,primary_5y_local_recurrence,5y_local_control_success,5.6,94.4,,181,192,5.0,kaplan_meier,higher_worse,converted_from_local_recurrence,Page 3 and Figure 1,"The 5-year local failure rate was 5.6% (95% CI, 2.0%-9.3%) for the CIRT group."
SCR00062,Kim 2025,2025,arm_sabr,Photon_SRS_FSRT,Photon SRS/FSRT,local_recurrence,primary_5y_local_recurrence,5y_local_control_success,13.4,86.6,,55,64,5.0,kaplan_meier,higher_worse,converted_from_local_recurrence,Page 3 and Figure 1,"The 5-year local failure rate was 13.4% (95% CI, 4.6%-22.2%) for the SABR group."
SCR00062,Kim 2025,2025,arm_cirt,CIRT,Carbon ion,metastasis,secondary_5y_metastasis,5y_metastasis,27.5,27.5,,53,192,5.0,kaplan_meier,higher_worse,reported_event_rate,Page 3 and Figure 1,"The 5-year distant failure rate CIRT: 27.5%, 95% CI 20.6%-34.3%."
SCR00062,Kim 2025,2025,arm_sabr,Photon_SRS_FSRT,Photon SRS/FSRT,metastasis,secondary_5y_metastasis,5y_metastasis,35.0,35.0,,22,64,5.0,kaplan_meier,higher_worse,reported_event_rate,Page 3 and Figure 1,"The 5-year distant failure rate SABR: 35.0%, 95% CI 22.1%-47.9%."
SCR00062,Kim 2025,2025,arm_cirt,CIRT,Carbon ion,secondary_enucleation,secondary_5y_eye_retention,5y_eye_retention_success,8.5,91.5,16.0,176,192,5.0,kaplan_meier,higher_worse,converted_from_secondary_enucleation,Page 3 and Figure 2,"In the PSM cohort, 16 CIRT patients underwent enucleation; 5-year cumulative incidence 8.5%."
