analysis_measure,analysis_node,analysis_node_label,k,N_total,events_total,pooled_pct,ci_low,ci_high,tau2,I2,method
5y_disease_specific_survival,I125_plaque,I-125 plaque,3,448,420,93.03,88.31,95.93,0.13011,52.01,metaprop_PLOGIT_REML
5y_disease_specific_survival,mixed,Mixed/unclear,3,367,306,83.06,78.88,86.55,0,0,metaprop_PLOGIT_REML
5y_disease_specific_survival,Photon_SRS_FSRT,Photon SRS/FSRT,1,22,20,89.13,68.81,96.82,NA,NA,metaprop_PLOGIT_REML
5y_disease_specific_survival,PBT,Proton beam,1,147,129,87.5,81.13,91.93,NA,NA,metaprop_PLOGIT_REML
5y_disease_specific_survival,Ru106_plaque,Ru-106 plaque,2,188,170,89.62,83.12,93.8,0.04553,27.5,metaprop_PLOGIT_REML
5y_enucleation,I125_plaque,I-125 plaque,1,237,27,11.55,8.07,16.28,NA,NA,metaprop_PLOGIT_REML
5y_enucleation,Ru106_plaque,Ru-106 plaque,1,310,6,2.09,0.97,4.44,NA,NA,metaprop_PLOGIT_REML
5y_eye_retention_success,CIRT,Carbon ion,2,442,409,92.31,89.42,94.45,0,0,metaprop_PLOGIT_REML
5y_eye_retention_success,I125_plaque,I-125 plaque,7,2154,1915,91.2,85.4,94.83,0.49717,84.05,metaprop_PLOGIT_REML
5y_eye_retention_success,Photon_SRS_FSRT,Photon SRS/FSRT,2,241,193,79.75,74.21,84.35,0,0,metaprop_PLOGIT_REML
5y_eye_retention_success,PBT,Proton beam,6,2278,2032,85.44,74.55,92.16,0.71902,96.4,metaprop_PLOGIT_REML
5y_eye_retention_success,Ru106_plaque,Ru-106 plaque,4,961,886,86.85,71.18,94.65,0.92994,94.07,metaprop_PLOGIT_REML
5y_local_control_success,CIRT,Carbon ion,2,442,417,94.14,91.54,95.98,0,0,metaprop_PLOGIT_REML
5y_local_control_success,I125_plaque,I-125 plaque,8,1810,1669,92.4,87.99,95.28,0.4146,77.9,metaprop_PLOGIT_REML
5y_local_control_success,Photon_SRS_FSRT,Photon SRS/FSRT,4,473,442,91.47,84.26,95.55,0.34883,70.83,metaprop_PLOGIT_REML
5y_local_control_success,PBT,Proton beam,6,3348,3227,95.29,90.87,97.63,0.62312,87.37,metaprop_PLOGIT_REML
5y_local_control_success,Ru106_plaque,Ru-106 plaque,13,3682,3132,82.67,77.52,86.85,0.31236,89.34,metaprop_PLOGIT_REML
5y_local_control_success,Ru106_plus_TTT,Ru-106 plaque + TTT,1,196,174,88.58,83.33,92.33,NA,NA,metaprop_PLOGIT_REML
5y_melanoma_specific_survival,mixed,Mixed/unclear,1,558,494,88.46,85.54,90.86,NA,NA,metaprop_PLOGIT_REML
5y_melanoma_specific_survival,PBT,Proton beam,4,1536,1373,93.9,73.71,98.83,2.85038,97.94,metaprop_PLOGIT_REML
5y_melanoma_specific_survival,Ru106_plaque,Ru-106 plaque,2,450,429,95,77.3,99.07,1.42591,92.55,metaprop_PLOGIT_REML
5y_metastasis,CIRT,Carbon ion,1,192,53,27.72,21.86,34.45,NA,NA,metaprop_PLOGIT_REML
5y_metastasis,I125_plaque,I-125 plaque,3,475,41,9.14,6.63,12.47,0.01574,11.78,metaprop_PLOGIT_REML
5y_metastasis,mixed,Mixed/unclear,3,2576,628,21.93,16.97,27.86,0.05196,66.35,metaprop_PLOGIT_REML
5y_metastasis,Photon_SRS_FSRT,Photon SRS/FSRT,1,64,22,34.62,24.1,46.88,NA,NA,metaprop_PLOGIT_REML
5y_metastasis,PBT,Proton beam,1,424,12,2.94,1.7,5.05,NA,NA,metaprop_PLOGIT_REML
5y_metastasis,Ru106_plaque,Ru-106 plaque,4,1273,135,10.63,6.41,17.13,0.26495,81.49,metaprop_PLOGIT_REML
5y_metastasis_free_survival,CIRT,Carbon ion,1,250,200,79.88,74.46,84.39,NA,NA,metaprop_PLOGIT_REML
5y_metastasis_free_survival,I125_plaque,I-125 plaque,2,421,370,87.7,84.21,90.5,0,0,metaprop_PLOGIT_REML
5y_metastasis_free_survival,mixed,Mixed/unclear,1,111,82,73.66,64.75,80.98,NA,NA,metaprop_PLOGIT_REML
5y_metastasis_free_survival,Photon_SRS_FSRT,Photon SRS/FSRT,2,42,37,86.28,72.64,93.71,0,0,metaprop_PLOGIT_REML
5y_metastasis_free_survival,PBT,Proton beam,3,946,830,84.35,71.84,91.92,0.3984,90.32,metaprop_PLOGIT_REML
5y_metastasis_free_survival,Ru106_plaque,Ru-106 plaque,4,287,246,82.15,76.76,86.51,1e-5,56.53,metaprop_PLOGIT_REML
5y_neovascular_glaucoma,I125_plaque,I-125 plaque,1,243,27,11.27,7.87,15.89,NA,NA,metaprop_PLOGIT_REML
