"Test","RelSens_Mean","RelSens_LCI","RelSens_UCI","RelSpec_Mean","RelSpec_LCI","RelSpec_UCI"
"DRISTi",0.79361995619993,0.272432832722709,1.0593955077849,0.907156958932268,0.233050742224348,1.54024029234113
"EyeArt",0.996683843558501,0.832332100061645,1.11876387658438,0.90021124779943,0.350177108097231,1.40981046455399
"Eyecheckup AI",0.937601524390385,0.556665584014075,1.11218366029206,0.718228351008437,0.149663550981294,1.3656116034626
"IDx-DR",1,1,1,1,1,1
"Medios AI",0.904281593514732,0.420532260763467,1.09327624882727,1.10631452340175,0.432142931190176,1.68900183313481
"MONA",0.825796039320964,0.429906861368411,1.04563311493938,1.27856965414128,0.856202539691129,1.95775379439575
"NEC",1.01186241279469,0.788640233127674,1.1475434592934,0.588076732015564,0.0864399126011487,1.1991771488189
"OphtAI",0.791483210163758,0.327492618989909,1.036168059337,1.24644527539787,0.793148588500752,1.942576354725
"Remidio",0.787076834047263,0.248972779548476,1.05297240753345,1.19092354920466,0.528209941976638,1.87658927139812
"RetCAD",0.89962786522626,0.584413263488422,1.05204631520885,1.36564920540685,1.04382037660678,2.07884096582111
"RetinaLyze",0.775296308746543,0.210530158725783,1.04775586097188,0.726175499171679,0.156999725447238,1.45726584150958
"Retmarker",0.813534802614819,0.396856836728706,1.03830672913645,1.14201483026695,0.483974819291011,1.77791863043504
