"Test","Sens_Mean","Sens_SD","Sens_LCI","Sens_UCI","Spec_Mean","Spec_SD","Spec_LCI","Spec_UCI"
"DRISTi",0.725066666627264,0.207511172682237,0.213097367413923,0.977535699966095,0.616289961191658,0.207815083776546,0.134555233946805,0.933432558477261
"EyeArt",0.931844364906308,0.0603290576525207,0.776477204969167,0.988464288601675,0.613963584049491,0.168159958089962,0.229918227914671,0.876350419675988
"Eyecheckup AI",0.870738786942656,0.138986062604095,0.485398145030197,0.992662758605021,0.481181854329194,0.20995580340844,0.0882716999544811,0.88068060316876
"IDx-DR",0.943244465924523,0.0399028192289926,0.84620926411968,0.988021063427637,0.701293916275391,0.126062901378394,0.411460584416016,0.900149298823356
"Medios AI",0.852490987054144,0.166664095463202,0.345657388312331,0.994247736188155,0.757055062526114,0.181527453218226,0.281362005486587,0.976774076992085
"MONA",0.765758797967129,0.163105323600629,0.352533294134382,0.968614643422408,0.863759207743568,0.109614584496884,0.55329185263247,0.977466757085826
"NEC",0.944182068500502,0.0810472701554569,0.722396704534057,0.997505326497055,0.409482853795289,0.205464390529536,0.0667558127560989,0.839775990365719
"OphtAI",0.72200023465634,0.185412679961605,0.259842561120864,0.961299473583198,0.839388418291877,0.121413304150423,0.505771337790095,0.98679714448188
"Remidio",0.725816750143879,0.203738388933155,0.217735088993494,0.976294407946851,0.808897931210168,0.158570640015591,0.358158070519914,0.976006662956949
"RetCAD",0.839517294611907,0.113900145534978,0.537339291233753,0.973195453719373,0.920338879287129,0.062769803608471,0.747142479666415,0.988874410117759
"RetinaLyze",0.761427509093627,0.221457258075965,0.185006082756618,0.990753461716528,0.507865600300162,0.248788613767704,0.0892321633116931,0.961912469239297
"Retmarker",0.748175092156665,0.165724529584873,0.336763964878192,0.962650935149688,0.773721710522139,0.160800318413281,0.347420768183336,0.961351760574665
