"Test","Label","Sens_Mean","Sens_SD","Sens_LCI","Sens_UCI","Spec_Mean","Spec_SD","Spec_LCI","Spec_UCI"
"AIDRScreening","A",0.806773798670085,0.169001346272752,0.336440703678155,0.98617528402212,0.930941119863827,0.0744581085558968,0.724726452907386,0.994458509510463
"Aireen","B",0.907846040312821,0.0823128851076578,0.684683626001744,0.987965052925585,0.886049064788521,0.0811436976021988,0.673458820391717,0.977960116466568
"Artelus DRISTi","C",0.812318518802141,0.126637192912214,0.471239295160603,0.974182858043938,0.749600111913931,0.119775179264338,0.435553804167008,0.917767432878135
"Baidu DR","D",0.896161453527249,0.118061024568298,0.530684900520065,0.994432491702829,0.92292136492086,0.0804101587456515,0.696114844953975,0.992970550172429
"EyeArt","E",0.968915104658242,0.0136270796947809,0.933565117215543,0.987590766658361,0.811809234453727,0.0459335858523501,0.70912661771834,0.888845458044405
"EyeCheckup","F",0.936962000223792,0.0460475979170248,0.817341288384514,0.987675877357512,0.735678873285859,0.102459324393594,0.522880348393634,0.915912548523488
"Google ARDA","G",0.852231260203632,0.152267059982232,0.40060159413512,0.991485908532878,0.921291317709183,0.0836896028700985,0.702147022155945,0.992999801489345
"IDx-DR","H",0.967847716804428,0.0116509374153574,0.939133099557441,0.98557363856162,0.814667342568539,0.0379771542797219,0.731237691598528,0.881529383380307
"LuxIA","I",0.930435148418167,0.093461755350852,0.643690160034357,0.997645427562147,0.913038977334951,0.086952704962759,0.663797041124583,0.991973994722028
"Medios AI","J",0.894528508926689,0.054262705326531,0.761893466045079,0.966245319260865,0.894947897118298,0.038865612462562,0.802229270441801,0.952483787900208
"MONA","K",0.833803316184871,0.082300918656449,0.645965895054164,0.957293108159947,0.945284767978892,0.0244832228498378,0.886445713379997,0.977777334050453
"NEC","L",0.973531890235304,0.0352809464294484,0.890039863453629,0.997432870737172,0.534711815512311,0.146469936874464,0.200111308528998,0.792793166650648
"OphtAI","M",0.826700168005467,0.105506140791232,0.545011712802303,0.956994182599322,0.909075424436424,0.0463457404166074,0.800764153761408,0.975955399429172
"Pegasus (Visulytix)","N",0.781716214644512,0.184565439553673,0.290807083033256,0.984134846662211,0.773490143837619,0.167072813193053,0.350656179450115,0.970189240593057
"RAIS-DR","O",0.827898868523215,0.152944165046152,0.409070277828151,0.986864288769207,0.961046702857171,0.0344623521673545,0.861703055896943,0.992090620785144
"Remidio AI","P",0.804082381222975,0.138573498538764,0.409615994671095,0.969226230680734,0.90095637052009,0.0688444872814697,0.719079247011447,0.971728978157934
"RetCAD","Q",0.85327124624218,0.0642646644187902,0.704675690028072,0.949151365915034,0.958600074621316,0.0160853749097817,0.91968551203096,0.981533438595166
"Retinalyze","R",0.839811517866589,0.141157133812077,0.430614513025432,0.981172911807308,0.602763313623567,0.161880008658621,0.276008147915297,0.905479850676815
"Retmarker","S",0.860184990708272,0.0782727096650328,0.674811309501086,0.973052640417741,0.81872130933568,0.0823795581139273,0.611952355316006,0.927815323938567
"THEIA","T",0.998138247361125,0.00993507110761087,0.988174100101107,0.999997373128531,0.968593690653461,0.0417957805510196,0.860169747747446,0.997750664383311
"VeriSee DR","U",0.807499554270706,0.171963416487459,0.34134405312186,0.987009010889752,0.806583677238719,0.146833319668238,0.435641679513027,0.978977466787745
