study_id,first_author,year,ta_decision,ft_decision,ft_reason,extraction_status,pdf_url,country,study_design,sample_size_total,income_tier,healthcare_setting,dilation,reference_standard,diagnostic_criteria,title
Abrmoff_2016,Abramoff M,2016,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Abrmoff_2016.pdf,United States,retrospective,874.0,high,mixed,mixed,Adjudicated consensus of three US Board-certified retinal specialists,ICDR,Improved Automated Detection of Diabetic Retinopathy on a Publicly Available Dataset Through Integration of Deep Learning.
40340790.0,Abreu-Gonzalez R,2025,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/40340790.0.pdf,Spain,cross-sectional,945.0,high,mixed,no,"Three retina specialists independently graded images on RetinAI Discovery platform, blinded to algorithm and demographics; ground truth = mean of three expert ratings",ICDR,Validation of artificial intelligence algorithm LuxIA for screening of diabetic retinopathy from a single 45° retinal colour fundus images: the CARDS study.
41991402.0,Alcalá-Millán M,2026,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41991402.0.pdf,Spain,cross-sectional,500.0,high,primary-care,no,Single retinal specialist ophthalmologist (no double reading or adjudication),ICDR,Comparative assessment of diagnostic agreement between artificial intelligence and general practitioners in diabetic retinopathy screening using non-mydriatic fundus photography.
ArenasCavalli_2021,Arenas-Cavalli JT,2021,maybe,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/ArenasCavalli_2021.pdf,Chile,retrospective,1123.0,high,national-screening,mixed,Ophthalmologist grading via teleophthalmology web platform using ICDR severity scale (panel of eight ophthalmologists); EURODIAB protocol images,ICDR,Clinical validation of an artificial intelligence-based diabetic retinopathy screening tool for a national health system.
doi_10.3390_diagnostics14171992,Baget-Bernaldiz M,2024,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.3390_diagnostics14171992.pdf,Spain,retrospective,16497.0,high,primary-care,no,Four masked senior retina ophthalmologists (consensus); Messidor-2 reference labels for the Messidor-2 subset,other (Messidor-2 classification: no/mild/moderate/severe DR based on microaneurysm and hemorrhage counts),Artificial Intelligence-Based Screening System for Diabetic Retinopathy in Primary Care.
Bauer_2025,Bauer FM,2025,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Bauer_2025.pdf,Germany,prospective,143.0,high,secondary,non-mydriatic,Ophthalmologist image assessment of fundus photographs using ICDR classification,ICDR,Automated Diabetic Retinopathy Screening in Out-patient Diabetes Care - Comparison of Two Artificial Intelligence Algorithms: RetCAD and OphtAI.
41651934.0,Berrada L,2026,maybe,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41651934.0.pdf,Belgium,prospective,353.0,high,tertiary,no,Retinal specialist (EM) at Erasmus Hospital graded all images using ETDRS classification; referable DR = moderate NPDR or worse in at least one eye,ETDRS,Real-world performance of an AI system for diabetic retinopathy screening.
31335200.0,Bhaskaranand M,2019,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/31335200.0.pdf,USA,retrospective,101710.0,high,primary-care,mixed,Certified EyePACS expert graders (trained optometrists or ophthalmologists) using EyePACS Retinopathy Grading System; adjudicating retinal specialist available,ICDR,"The Value of Automated Diabetic Retinopathy Screening with the EyeArt System: A Study of More Than 100,000 Consecutive Encounters from People with Diabetes."
Burlina_2024,Burlina S,2024,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Burlina_2024.pdf,Italy,retrospective,867.0,high,secondary,non-mydriatic,"Single certified ophthalmologist, blinded, graded using International Clinical Diabetic Retinopathy Severity Scale (ICDR)",ICDR,Screening for diabetic retinopathy with artificial intelligence: a real world evaluation.
Chia_2023,Chia M,2023,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Chia_2023.pdf,Australia,retrospective,1682.0,high,primary,non-mydriatic,"Three-person adjudication panel of US board-certified retina specialists (mean 3.7 years postfellowship experience), round-robin until agreement",ICDR,Validation of a deep learning system for the detection of diabetic retinopathy in Indigenous Australians.
