"Test","Label","RelSens_Mean","RelSens_LCI","RelSens_UCI","RelSpec_Mean","RelSpec_LCI","RelSpec_UCI"
"AIDRScreening","A",0.833653630066313,0.34579583293535,1.02149633647976,1.14524094695335,0.879094095226198,1.31333188529828
"Aireen","B",0.938171230723715,0.704917565485843,1.02917772253135,1.09014625110911,0.822655601700381,1.28074349111932
"Artelus DRISTi","C",0.839346854772368,0.484931181000439,1.00621541472594,0.921547167934675,0.530848113850924,1.15731057664524
"Baidu DR","D",0.926092698003729,0.54754251081978,1.03757765391956,1.13534189469214,0.842655318923492,1.30914237747183
"EyeArt","E",1.00123695657832,0.961748290487799,1.03489506243904,0.998151262415298,0.860915278291292,1.12804074234456
"EyeCheckup","F",0.968231831471574,0.843126420176128,1.02993389727215,0.90470170628725,0.642481477172989,1.15331509361065
"Google ARDA","G",0.880757515103523,0.416677024925335,1.03006480499086,1.13326013017429,0.863360976160879,1.30837472471329
"IDx-DR","H",1,1,1,1,1,1
"LuxIA","I",0.961503144312121,0.667061007871981,1.0446801385574,1.12320011502845,0.813361007694425,1.30176815941897
"Medios AI","J",0.924330677882084,0.788550461099983,1.00179643917336,1.10059731305643,0.975001145862881,1.23487287916145
"MONA","K",0.861556531687063,0.668302878891162,0.989288545078637,1.16266663015289,1.05940289285547,1.29252724118271
"NEC","L",1.00600675062766,0.920470959179947,1.0483204548622,0.656905990102033,0.249729065689327,0.979195483682714
"OphtAI","M",0.854248916844057,0.565179745165419,0.988002843143929,1.1181968581162,0.970135905696172,1.27128388851833
"Pegasus (Visulytix)","N",0.807856545820103,0.297189367302952,1.01849329147215,0.951854272391682,0.43445214413586,1.23840323614211
"RAIS-DR","O",0.855489523300856,0.423592896667573,1.02160228645955,1.18220657455727,1.04288929983991,1.32209544014405
"Remidio AI","P",0.830795842293178,0.424478970202997,1.00187818945532,1.10810567014601,0.880701188685083,1.26554356296667
"RetCAD","Q",0.88154609515295,0.732861069740766,0.98072712219316,1.17894875992502,1.09281283427583,1.30193850821173
"Retinalyze","R",0.867583369789634,0.448922769137281,1.01098260481835,0.739542377685345,0.347812750445852,1.11447154150381
"Retmarker","S",0.888869457033772,0.698657318059068,1.00917908585051,1.00681919427683,0.752189430496402,1.17557546038339
"THEIA","T",1.03145167918115,1.01095295247963,1.0641598388288,1.19152991822994,1.04052400487419,1.33947053572057
"VeriSee DR","U",0.834464015982722,0.350440452444323,1.02079600637862,0.99224134147328,0.532083441044278,1.2513975406682
