study_id,first_author,year,ta_decision,ft_decision,extraction_status,pdf_url,ai_system,ai_version,regulator_certified,camera_type,tp,fn,tn,fp,sensitivity,specificity,auc,prevalence,n_total_arm,evidence_snippet,evidence_page,evidence_source
Abrmoff_2016,Abramoff M,2016,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Abrmoff_2016.pdf,IDx-DR,X2.1,none,"Topcon TRC NW6 non-mydriatic fundus camera, 45° FOV",,6.0,,,0.968,0.87,0.98,0.217,874.0,"Sensitivity was 96.8% (95% CI: 93.3%-98.8%), specificity was 87.0% (95% CI: 84.2%-89.4%), with 6/874 false negatives... The AUC was 0.980 (95% CI: 0.968-0.992).",5200.0,abstract
Abrmoff_2016,Abramoff M,2016,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Abrmoff_2016.pdf,IDx-DR,X2.1,none,"Topcon TRC NW6 non-mydriatic fundus camera, 45° FOV",,,,,1.0,0.908,0.989,0.106,874.0,"For the device's vtDR output, sensitivity to detect vtDR was 100.0% (95% CI: 96.1%-100.0%) and specificity was 90.8% (95% CI: 88.5%-92.7%)... AUC for the device's vtDR index to detect vtDR was 0.989 (95% CI: 0.984-0.994).",5202.0,text
Abrmoff_2016,Abramoff M,2016,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Abrmoff_2016.pdf,Iowa Detection Program (IDP),nan,none,"Topcon TRC NW6 non-mydriatic fundus camera, 45° FOV",,,,,,,0.937,0.217,874.0,"Sensitivity was not statistically different from published IDP sensitivity, which had a CI of 94.4% to 99.3%, but specificity was significantly better than the published IDP specificity CI of 55.7% to 63.0%. The AUC for rDR output is 0.980,",5203.0,figure_caption
40340790.0,Abreu-Gonzalez R,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/40340790.0.pdf,LuxIA,nan,none,"Topcon NW200/NW400 non-mydriatic, 45° colour fundus",136.0,4.0,653.0,36.0,0.971,0.948,0.96,0.1689,829.0,"mtmDR, n (%) TP 136 (16.4) FP 36 (4.3); ≤mild DR, n (%) FN 4 (0.5) TN 653 (78.8); n valid 829; Accuracy 95.2 Sensitivity 97.1 Specificity 94.8",4.0,table
40340790.0,Abreu-Gonzalez R,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/40340790.0.pdf,LuxIA,nan,none,"ZEISS non-mydriatic, 45° colour fundus",,,,,0.833,0.923,,,32.0,"The validation of LuxIA on ZEISS- obtained retinal fundus images (n=32) demonstrated high accuracy (90.6%) and specificity (92.3%). However, the sensitivity of screening mtmDR using the ZEISS camera (83.3%) was lower",6.0,text
41991402.0,Alcalá-Millán M,2026,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41991402.0.pdf,EyeArt,v3.0.0 Rev.101 (2024),CE,"TOPCON TRC NW-400, 45° non-mydriatic",108.0,2.0,880.0,10.0,0.982,0.989,,0.11,1000.0,"AI achieved a sensitivity of 98.2%, specificity of 98.9%, an overall accuracy of 98.8%, a negative predictive value (NPV) of 99.7%, and a negative likelihood ratio (LR–) of 0.02.",4.0,text
ArenasCavalli_2021,Arenas-Cavalli JT,2021,maybe,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/ArenasCavalli_2021.pdf,DART (TeleDx),nan,unknown,"Nidek AFC-330; Canon CR-2; Topcon TRC-50ex (desktop non-mydriatic, ≥10 MP, 45-degree field)",226.0,13.0,657.0,227.0,0.946,0.743,0.915,0.213,1123.0,DART) (n=1123) True Positives False Positives False Negatives True Negatives (n=226) (n=227) (n=13) (n=657) 82 J.T.Arenas-Cavallietal. Table3 Summaryindicators. Indicator Value 95%confidenceinterval Name Formula Lowerbound,4.0,all4_2x2
doi_10.3390_diagnostics14171992,Baget-Bernaldiz M,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.3390_diagnostics14171992.pdf,MIRA (AIRS),MIRA 4.0,none,TOPCON TRC-NW6S nonmydriatic fundus camera,1706.0,58.0,13463.0,64.0,0.967,0.9982,0.958,0.1154,15291.0,"The performance of the algorithm in differentiating those retinographies without RDR from those with RDR was ACC = 98.66, S = 96.7, SP = 99.82, PPV = 99.01, NPV = 98.01, and AUC = 0.958.",11.0,text
doi_10.3390_diagnostics14171992,Baget-Bernaldiz M,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.3390_diagnostics14171992.pdf,MIRA (AIRS),MIRA 4.0,none,Multiple fundus camera models (Messidor-2 public dataset),373.0,13.0,809.0,5.0,0.9464,0.9914,0.918,0.3217,1200.0,"The performance scores when differentiating retina pictures with RDR from those without was S = 94.64%, SP = 99.14%, PPV = 90.54%, NPV = 99.53%, ACC = 96.78%, and AUC = 0.918.",12.0,text
doi_10.3390_diagnostics14171992,Baget-Bernaldiz M,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.3390_diagnostics14171992.pdf,Retiprogram (DRPA),Retiprogram 4.0,none,"Not applicable (clinical-variable-based fuzzy random forest using 9 variables: age, sex, DM duration, DM treatment, BP control, HbA1c, eGFR, microalbuminuria, BMI)",2795.0,1090.0,36196.0,774.0,0.89,0.98,0.92,0.0968,40855.0,"The algorithm correctly predicted 36,196 and 2795 patients with no and any DR, respectively...S = 0.89, SP = 0.98, PPV = 0.79, NPV = 0.98, and ACC = 0.96. The AUC was 0.92 for any type of DR.",13.0,text
