"Test","SUCRA_Sens","SUCRA_Spec"
"A",0.352166666666667,0.721033333333333
"B",0.554633333333333,0.538133333333333
"C",0.3016,0.227966666666667
"D",0.563033333333333,0.6929
"E",0.79695,0.2949
"F",0.642583333333333,0.2046
"G",0.456366666666667,0.6879
"H",0.787583333333333,0.298066666666667
"I",0.683283333333333,0.655
"J",0.463016666666667,0.525266666666667
"K",0.292883333333333,0.739683333333333
"L",0.8515,0.0468666666666666
"M",0.313633333333333,0.587833333333333
"N",0.316216666666667,0.337716666666667
"O",0.3852,0.840033333333333
"P",0.290333333333333,0.575983333333333
"Q",0.333133333333333,0.810083333333333
"R",0.396383333333333,0.10495
"S",0.364983333333333,0.33745
"T",0.993983333333333,0.884133333333333
"U",0.360583333333333,0.3896
