AI system,Label,# studies,# arms,Sensitivity (95% CrI),Specificity (95% CrI),Risk of bias,Indirectness,Inconsistency,Imprecision,Publication bias,Overall certainty
IDx-DR,H,14,22,0.97 (0.94–0.99),0.81 (0.73–0.88),Very serious — 10 High / 2 Unclear / 2 Low of 14 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),"Serious (network τ_sens=0.93, τ_spec=0.91)",Not serious,Suspected (Deeks' P=0.007 at network level),VERY LOW ⊕○○○
EyeArt,E,10,12,0.97 (0.93–0.99),0.81 (0.71–0.89),Serious — 4 High / 3 Unclear / 3 Low of 10 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),"Serious (network τ_sens=0.93, τ_spec=0.91)",Not serious,Suspected (Deeks' P=0.007 at network level),VERY LOW ⊕○○○
RetCAD,Q,5,6,0.85 (0.70–0.95),0.96 (0.92–0.98),Very serious — 5 High / 0 Unclear / 0 Low of 5 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),"Serious (network τ_sens=0.93, τ_spec=0.91)",Serious (CrI > 0.20),Suspected (Deeks' P=0.007 at network level),VERY LOW ⊕○○○
Medios AI,J,5,5,0.89 (0.76–0.97),0.89 (0.80–0.95),Serious — 1 High / 0 Unclear / 4 Low of 5 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),"Serious (network τ_sens=0.93, τ_spec=0.91)",Serious (CrI > 0.20),Suspected (Deeks' P=0.007 at network level),VERY LOW ⊕○○○
EyeCheckup,F,2,4,0.94 (0.82–0.99),0.74 (0.52–0.92),Not serious — 0 High / 0 Unclear / 2 Low of 2 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Not serious,Serious (CrI > 0.20),Not assessed (sparse data),MODERATE ⊕⊕⊕○
Retinalyze,R,1,4,0.84 (0.43–0.98),0.60 (0.28–0.91),Very serious — 1 High / 0 Unclear / 0 Low of 1 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Not serious,Very serious (CrI > 0.40),Not assessed (sparse data),VERY LOW ⊕○○○
Retmarker,S,4,4,0.86 (0.67–0.97),0.82 (0.61–0.93),Very serious — 3 High / 0 Unclear / 1 Low of 4 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Not serious,Serious (CrI > 0.20),Not assessed (sparse data),VERY LOW ⊕○○○
AIDRScreening,A,1,2,0.81 (0.34–0.99),0.93 (0.72–0.99),Not serious — 0 High / 0 Unclear / 1 Low of 1 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Not serious,Very serious (CrI > 0.40),Not assessed (sparse data),LOW ⊕⊕○○
Aireen,B,2,2,0.91 (0.68–0.99),0.89 (0.67–0.98),Very serious — 2 High / 0 Unclear / 0 Low of 2 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Not serious,Serious (CrI > 0.20),Not assessed (sparse data),VERY LOW ⊕○○○
OphtAI,M,2,2,0.83 (0.55–0.96),0.91 (0.80–0.98),Very serious — 1 High / 0 Unclear / 1 Low of 2 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Not serious,Very serious (CrI > 0.40),Not assessed (sparse data),VERY LOW ⊕○○○
Pegasus (Visulytix),N,1,2,0.78 (0.29–0.98),0.77 (0.35–0.97),Very serious — 1 High / 0 Unclear / 0 Low of 1 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Not serious,Very serious (CrI > 0.40),Not assessed (sparse data),VERY LOW ⊕○○○
THEIA,T,1,2,1.00 (0.99–1.00),0.97 (0.86–1.00),Very serious — 1 High / 0 Unclear / 0 Low of 1 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Not serious,Not serious,Not assessed (sparse data),LOW ⊕⊕○○
Artelus DRISTi,C,1,1,0.81 (0.47–0.97),0.75 (0.44–0.92),Not serious — 0 High / 0 Unclear / 1 Low of 1 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Cannot assess (single arm),Very serious (CrI > 0.40),Not assessed (sparse data),LOW ⊕⊕○○
Baidu DR,D,1,1,0.90 (0.53–0.99),0.92 (0.70–0.99),Not serious — 0 High / 0 Unclear / 1 Low of 1 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Cannot assess (single arm),Very serious (CrI > 0.40),Not assessed (sparse data),LOW ⊕⊕○○
Google ARDA,G,1,1,0.85 (0.40–0.99),0.92 (0.70–0.99),Not serious — 0 High / 0 Unclear / 1 Low of 1 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Cannot assess (single arm),Very serious (CrI > 0.40),Not assessed (sparse data),LOW ⊕⊕○○
LuxIA,I,1,1,0.93 (0.64–1.00),0.91 (0.66–0.99),Not serious — 0 High / 1 Unclear / 0 Low of 1 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Cannot assess (single arm),Serious (CrI > 0.20),Not assessed (sparse data),MODERATE ⊕⊕⊕○
NEC,L,1,1,0.97 (0.89–1.00),0.53 (0.20–0.79),Not serious — 0 High / 0 Unclear / 1 Low of 1 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Cannot assess (single arm),Very serious (CrI > 0.40),Not assessed (sparse data),LOW ⊕⊕○○
RAIS-DR,O,1,1,0.83 (0.41–0.99),0.96 (0.86–0.99),Not serious — 0 High / 1 Unclear / 0 Low of 1 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Cannot assess (single arm),Very serious (CrI > 0.40),Not assessed (sparse data),LOW ⊕⊕○○
Remidio AI,P,1,1,0.80 (0.41–0.97),0.90 (0.72–0.97),Not serious — 0 High / 0 Unclear / 1 Low of 1 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Cannot assess (single arm),Very serious (CrI > 0.40),Not assessed (sparse data),LOW ⊕⊕○○
VeriSee DR,U,1,1,0.81 (0.34–0.99),0.81 (0.44–0.98),Not serious — 0 High / 0 Unclear / 1 Low of 1 studies (QUADAS-3),Not serious (fundus + rDR + commercial systems),Cannot assess (single arm),Very serious (CrI > 0.40),Not assessed (sparse data),LOW ⊕⊕○○
MONA,K,0,0,0.83 (0.65–0.96),0.95 (0.89–0.98),Very serious (single-arm; no QUADAS-3 mapping),Not serious (fundus + rDR + commercial systems),Cannot assess (single arm),Serious (CrI > 0.20),Not assessed (sparse data),VERY LOW ⊕○○○
