"Node","Sensitivity","Specificity","Excluded","Ref_Se","Ref_Sp","Delta_Se","Delta_Sp"
"Reader only",0.905395590466197,0.928512487439188,"ST001",0.90563948104325,0.927953981417988,-0.000243890577053096,0.000558506021199667
"AI only",0.918873353374162,0.942728578757142,"ST001",0.917948680308724,0.941733155814096,0.000924673065437864,0.000995422943045998
"Reader only",0.906391967144065,0.927817985360445,"ST002",0.90563948104325,0.927953981417988,0.000752486100815131,-0.000135996057543109
"AI only",0.91751025714938,0.942204627502406,"ST002",0.917948680308724,0.941733155814096,-0.000438423159344281,0.000471471688310632
"Reader only",0.906881601443055,0.928101818190383,"ST003",0.90563948104325,0.927953981417988,0.0012421203998042,0.000147836772394494
"AI only",0.918241986914626,0.941780284396919,"ST003",0.917948680308724,0.941733155814096,0.000293306605901655,4.71285828235191e-05
"Reader only",0.906070469450416,0.928064981095352,"ST004",0.90563948104325,0.927953981417988,0.000430988407165378,0.000110999677363721
"AI only",0.917369070266173,0.941188160478358,"ST004",0.917948680308724,0.941733155814096,-0.000579610042551248,-0.000544995335737375
"Reader only",0.905949083647988,0.927435188980169,"ST005",0.90563948104325,0.927953981417988,0.000309602604737447,-0.000518792437819271
"AI only",0.917375514169487,0.941079096809387,"ST005",0.917948680308724,0.941733155814096,-0.000573166139237746,-0.00065405900470894
"Reader only",0.906796643409043,0.928135775675122,"ST006",0.90563948104325,0.927953981417988,0.00115716236579244,0.000181794257133383
"AI only",0.918876419947705,0.942555828668996,"ST006",0.917948680308724,0.941733155814096,0.000927739638980407,0.000822672854900008
"Reader only",0.906429904180581,0.928167822329712,"ST007",0.90563948104325,0.927953981417988,0.000790423137330798,0.000213840911723495
"AI only",0.919887604170544,0.942030760779282,"ST007",0.917948680308724,0.941733155814096,0.00193892386181949,0.000297604965185827
"Reader only",0.905759739324254,0.927235388027268,"ST008",0.90563948104325,0.927953981417988,0.000120258281004149,-0.00071859339071989
"AI only",0.917848583894102,0.942383857377067,"ST008",0.917948680308724,0.941733155814096,-0.00010009641462283,0.00065070156297109
"Reader only",0.914231760985488,0.934095221495154,"ST009",0.90563948104325,0.927953981417988,0.00859227994223777,0.00614124007716554
"AI only",0.919781933887429,0.943186198707916,"ST009",0.917948680308724,0.941733155814096,0.0018332535787049,0.0014530428938202
"Reader only",0.905888825540175,0.926950596935282,"ST010",0.90563948104325,0.927953981417988,0.00024934449692493,-0.00100338448270598
"AI only",0.919295019311295,0.942119815493115,"ST010",0.917948680308724,0.941733155814096,0.00134633900257031,0.000386659679018853
"Reader only",0.905996852870375,0.928552021662074,"ST011",0.90563948104325,0.927953981417988,0.000357371827124364,0.000598040244085607
"AI only",0.917728626040082,0.942343880319421,"ST011",0.917948680308724,0.941733155814096,-0.000220054268642689,0.000610724505325067
"Reader only",0.906431757043771,0.927613387227969,"ST012",0.90563948104325,0.927953981417988,0.000792276000520897,-0.000340594190019083
"AI only",0.9181223332715,0.943175275537597,"ST012",0.917948680308724,0.941733155814096,0.000173652962776161,0.0014421197235015
"Reader only",0.906915722182432,0.927910723244742,"ST013",0.90563948104325,0.927953981417988,0.00127624113918179,-4.32581732463522e-05
"AI only",0.919466690692863,0.941646252324418,"ST013",0.917948680308724,0.941733155814096,0.00151801038413879,-8.69034896778809e-05
"Reader only",0.914223606888999,0.929650723789857,"ST014",0.90563948104325,0.927953981417988,0.0085841258457483,0.00169674237186868
"AI only",0.918771986075589,0.942355897905853,"ST014",0.917948680308724,0.941733155814096,0.000823305766865068,0.000622742091757278
"Reader only",0.90590607695199,0.928310622837205,"ST015",0.90563948104325,0.927953981417988,0.000266595908739453,0.000356641419216874
"AI only",0.91987035210011,0.942011488775814,"ST015",0.917948680308724,0.941733155814096,0.0019216717913858,0.000278332961717864
