study_id,study_label,year,journal,doi,pmid,study_design,setting,dataset,vendor,machine,dilation,age_summary,reference_standard,glaucoma_target,modalities_present,arm_count,extractable_arm_count,eligible_node_arm_count,validation_types,reference_types,units_present,regions_present,economic_groups_present,n_total,include_in_sr,include_in_ma,notes
ST027,Chen 2025,2025,J Chin Med Assoc,10.1097/jcma.0000000000001289,,retrospective,multi-institutional,TVGH + 5 external,no,"Canon CX-1/CR-2, Topcon, Zeiss, Welch Allyn",not specified,not reported,clinical_diagnosis,Glaucoma,fundus,5,5,5,"external, internal",clinical,per-image,Taiwan,HIC,931,yes,yes,"PDF-grounded audit on 2026-04-16: exact 2x2 rows retained for weighted DRISHTI-GS1, Refuge, LES-AV, VEIRC, and comorbidity subset. Internal TVGH, CHGH, glaucoma-only subset, and original internal base"
ST060,Jan 2025,2025,npj Digital Medicine (2025) 8:1 Article Number: 386. Date of Publication: 1 Dec 2025,10.1038/s41746-025-01768-y,40595445,prospective pragmatic trial,primary care (Australian vision centers),private,no,RetiCam 3100,No (non-mydriatic),not reported,clinical_diagnosis,Glaucoma screening,fundus,1,1,1,external,expert,per-patient,Oceania,HIC,268,yes,yes,"PDF-grounded audit on 2026-04-16: Jan et al. 2025 provides two exact external screening confusion matrices in Table 3, retained as person-level and image-level rows. Ungradable cells were excluded fro"
ST003,Lau et al. (2025),2025,Translational vision science & technology (2025) 14:10 (22). Date of Publication: 1 Oct 2025,10.1167/tvst.14.10.22,,retrospective,primary,private,no,Maestro 2,yes,68.5 | not reported,structural_functional,Glaucoma,OCT,6,6,6,external,structure,eye,"North America, USA",HIC,3075,yes,yes,"PDF-grounded audit on 2026-04-16: Lau et al. 2025 Table 4 provides 14 extractable binary matrices formed against the 396-eye Maestro RDB healthy cohort across DLM, H-T LRM, and conventional OCT criter"
ST108,Upadhyaya 2025,2025,Ophthalmol Glaucoma,10.1016/j.ogla.2024.09.002,,prospective,multi-center (6 satellite vision centers),299 participants (39 referable glaucoma),no,Remidio FOP NM-10,No (non-mydriatic),not reported,clinical_diagnosis,referable glaucoma,fundus,2,2,2,external,ophthalmologist,per-patient,India,LMIC,598,yes,yes,PDF-grounded audit on 2026-04-16: Upadhyaya et al. 2025 Table 1 provides two exact patient-level 2x2 matrices for Medios AI versus tele-ophthalmologist under liberal and conservative criteria. The pre
ST054,Xiong 2025,2025,Biomedical Signal Processing and Control (2025) 99 Article Number: 106850. Date of Publication: 1 Jan 2025,10.1016/j.bspc.2024.106850,,retrospective,public dataset,"public (REFUGE, ACRIMA)",no,various,not specified,not reported,dataset_label,Glaucoma,fundus,2,2,2,internal,expert,per-image,not specified,not specified,179,yes,yes,PDF-grounded audit on 2026-04-16: Xiong et al. 2025 Figure 9 provides two exact image-level confusion matrices for Multi-GlaucNet on the REFUGE and ACRIMA datasets. The previously retained gNet3D/CUHK
ST092,Cho 2024,2024,Sensors,10.3390/s24144684,,retrospective,single-center,ODIR,no,not specified,not specified,not reported,dataset_label,any glaucoma,fundus,1,1,1,internal,dataset labels,per-image,mixed,mixed,64,yes,yes,
ST088,Sidhu 2024,2024,Indian J Ophthalmol,10.4103/ijo.Ijo_613_23,,retrospective,not extractable,"975 images (535 normal, 440 GON)",no,not specified,not specified,not reported,expert_adjudication,GON,fundus,1,1,1,internal,glaucoma specialist,per-image,India,LMIC,975,yes,yes,
ST022,Cao 2023,2023,BioMedical Engineering Online,10.1186/s12938-023-01097-9,37095516,prospective,clinical + population screening,637 clinic images,no,not specified,not specified,not reported,clinical_diagnosis,Glaucoma screening,fundus,2,2,2,"external (screening), internal",clinical,per-image,China,UMIC,1274,yes,yes,Migrated from orphan full-text extraction rows in the previous redesign workbook.
ST074,Rodriguez-Robles 2023,2023,Sensors,10.3390/s23104737,,retrospective,"single-center (Hospital Reina Sofia, Murcia)","208 patients (161 healthy, 47 glaucoma)",no,not specified,not specified,not reported,clinical_diagnosis,any glaucoma,"OCT, fundus, fundus+OCT",4,4,4,internal,"expert, ophthalmologist",per-patient,"Europe, Spain",HIC,832,yes,yes,"FLAG: Duplicate of ST019. Same study, fundus+OCT. KEEP."
ST078,Hung 2022,2022,BMC Ophthalmol,10.1186/s12886-022-02730-2,,retrospective,single-center (Chang Gung Memorial Hospital),"1851 images (1207 normal, 644 glaucoma)",no,"Kowa nonmyd alpha-DIII, RetinaVue 700, Canon CR6-45NM, TRC-NW400, iCam Optovue",mixed,non-GON 48.33±18.54; GON 61.22±16.79,clinical_diagnosis,any glaucoma+NTG,fundus,3,3,3,internal,"clinical diagnosis, combined(structure+functional)",per-eye,"Asia, Taiwan",HIC,210,yes,yes,
ST001,Wang 2021,2021,International Ophthalmology,10.1007/s10792-021-01762-9,33655390,retrospective,public dataset,"public (DRIONS-DB, HRF, RIM-ONE, Drishti-GS)",no,standard fundus camera,not specified,not reported,dataset_label,glaucoma,fundus,1,1,1,internal,expert,image,Asia,UMIC,686,yes,yes,Manual arm-level abstraction reconstructed from the included full-text PDF abstract during workbook reassessment.
ST069,Hemelings 2020,2020,Acta Ophthalmol,10.1111/aos.14193,,retrospective,multi-source (UZ Leuven + screening program + external hospitals),"7038 images, 1775 patients",no,not specified,mixed,not reported,expert_adjudication,any glaucoma,fundus,6,6,6,internal,"combined(structure+functional), expert adjudication, glaucoma expert","per-image, per-patient","Belgium, Europe",HIC,2124,yes,yes,
ST014,MacCormick 2019,2019,Plos One,10.1371/journal.pone.0209409,,retrospective,multi-center (Liverpool + Ireland),"public (ORIGA, RIM-ONE)",no,various,not specified,not reported,clinical_diagnosis,Glaucoma,fundus,2,2,2,"external, internal",expert,image,Europe,HIC,326,yes,yes,Manual arm-level abstraction reconstructed from the included full-text PDF abstract during workbook reassessment.
ST100,Ramzan 2019,2019,IET Image Proc,10.1049/iet-ipr.2018.5396,,retrospective,single-center (Armed Forces Institute of Ophthalmology),OCT images,no,OCT,not specified,not reported,clinical_diagnosis,any glaucoma,OCT,5,5,5,"external, internal","expert adjudication, senior ophthalmologist","per-eye, per-image","China, mixed","UMIC, mixed",317,yes,yes,
ST084,Chakrabarty 2016,2016,J Glaucoma,10.1097/ijg.0000000000000354,,retrospective,multi-center (2 sites),314 fundus images,yes,"Topcon TRC50EX, Zeiss Visucam NM/FA",Yes,not reported,expert_adjudication,GON,fundus,5,5,5,external,"expert adjudication, reference standard grading","per-eye, per-image",India,LMIC,1570,yes,yes,
ST110,Kanwar 2026,2026,Biomedical Signal Processing and Control,10.1016/j.bspc.2026.109543,,retrospective,multi-dataset,ORIGA→G1020 cross-dataset,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,external,dataset label,per-image,India,LMIC,1232,yes,yes,
ST111,Govindharaj 2025,2025,International Ophthalmology,10.1007/s10792-025-03602-6,,retrospective,single-dataset,ORIGA,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,Singapore,HIC,705,yes,yes,
ST112,Haider 2022,2022,Expert Systems With Applications,10.1016/j.eswa.2022.117968,,retrospective,multi-dataset,"Drishti-GS, REFUGE, RIM-ONE, DRIONS-DB",,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,mixed,mixed,51,yes,yes,
ST113,Bhuiyan 2021,2021,Journal of Ophthalmology,10.1155/2021/6694784,,retrospective,multi-dataset,AREDS + ORIGA (external),,,,not reported,expert_adjudication,Glaucoma suspect (CDR>0.5),fundus,1,1,1,external,expert adjudication,per-image,USA,HIC,638,yes,yes,
ST114,Rasel 2024,2024,Scientific Reports,10.1038/s41598-024-62411-6,,retrospective,UK Biobank,"UK Biobank (255 glaucoma, 2812 healthy)",,,,not reported,clinical_diagnosis,POAG,OCT,1,1,1,internal,clinical diagnosis,per-eye,USA,HIC,1214,yes,yes,
ST115,Lin 2022,2022,Scientific Reports,10.1038/s41598-022-17753-4,,retrospective,multi-center,OHTS (22 centers US) + LAG,,,,not reported,expert_adjudication,POAG,fundus,1,1,1,internal,expert adjudication,per-image,mixed,mixed,86,yes,yes,
ST116,Song 2025,2025,Bioengineering,10.3390/bioengineering12050516,,retrospective,single-center,Taipei Veterans General Hospital,,,,not reported,clinical_diagnosis,Early-stage glaucoma (MD 0 to -6dB),OCT,1,1,1,internal,clinical diagnosis,per-eye,Taiwan,HIC,100,yes,yes,
ST117,Shyamalee 2024,2024,IEEE Access,10.1109/access.2024.3359698,,retrospective,multi-dataset,"RIM-ONE, ACRIMA, REFUGE, DRISHTI-GS1, ORIGA",,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,mixed,mixed,705,yes,yes,
ST118,Balasubramanian 2018,2018,Journal of Medical Imaging and Health Informatics,10.1166/jmihi.2018.2504,,retrospective,single-center,Private dataset,,,,not reported,clinical_diagnosis,Glaucoma vs normal,fundus,1,1,1,internal,clinical diagnosis,per-image,USA,HIC,170,yes,yes,
ST119,Shoukat 2023,2023,Diagnostics,10.3390/diagnostics13101738,,retrospective,multi-dataset,Public datasets,,,,not reported,dataset_label,Early-stage glaucoma,fundus,1,1,1,internal,dataset label,per-image,UK,HIC,287,yes,yes,
ST120,Phene 2019,2019,Ophthalmology,10.1016/j.ophtha.2019.07.024,,retrospective,multi-center,EyePACS + glaucoma clinic (Google),,,,not reported,expert_adjudication,Referable GON,fundus,1,1,1,external,expert adjudication,per-image,USA,HIC,74973,yes,yes,
ST121,Gomez-Valverde 2019,2019,Biomedical Optics Express,10.1364/boe.10.000892,,retrospective,multi-dataset,"RIM-ONE r3, Drishti-GS1, ACRIMA",,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,Spain,HIC,705,yes,yes,
