id,Study,Year,PDF link,PDF path,type,tp,fn,fp,tn,n_pos,n_neg,Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Source sheet
1,Acharya (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Acharya (2018).pdf,04_fulltext/pdfs/Acharya (2018).pdf,"KNN (proposed, hybrid GLCM + PCA)",10,0,0,10,10,10,image,fundus,combined criteria,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,"K-Nearest Neighbor with Haar DWT + GLCM (homogeneity, correlation) + PCA",claude_pdf
1,Acharya (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Acharya (2018).pdf,04_fulltext/pdfs/Acharya (2018).pdf,Random Forest (with PCA),10,0,1,9,10,10,image,fundus,combined criteria,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,Random Forest with Haar DWT + GLCM + PCA,claude_pdf
1,Acharya (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Acharya (2018).pdf,04_fulltext/pdfs/Acharya (2018).pdf,SVM (with PCA),10,0,3,7,10,10,image,fundus,combined criteria,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,Support Vector Machine with Haar DWT + GLCM + PCA,claude_pdf
1,Acharya (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Acharya (2018).pdf,04_fulltext/pdfs/Acharya (2018).pdf,Neural Network (with PCA),8,2,5,5,10,10,image,fundus,combined criteria,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,Neural Network with Haar DWT + GLCM + PCA,claude_pdf
1,Acharya (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Acharya (2018).pdf,04_fulltext/pdfs/Acharya (2018).pdf,Naive Bayes (with PCA),9,1,0,9,10,9,image,fundus,combined criteria,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,Naive Bayes with Haar DWT + GLCM + PCA,claude_pdf
2,Ahn (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Ahn (2018).pdf,04_fulltext/pdfs/Ahn (2018).pdf,ResNet50 Transfer Learning,4731,901,1562,7628,5632,9190,image,fundus,expert ophthalmologist,North America,internal,cross-sectional,no,confirmed,unspecified,56.8,0.38,ResNet50 (ImageNet pretrained),claude_pdf
3,Ahn (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Ahn (2022).pdf,04_fulltext/pdfs/Ahn (2022).pdf,CAM-supported 8-layer CNN (ORIGA-Light),33,1,7,89,34,96,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,confirmed,unspecified,n/r,0.258,8-layer CNN with HE+CLAHE preprocessing and CAM-based XAI,claude_pdf
4,Ajesh (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Ajesh (2020).pdf,04_fulltext/pdfs/Ajesh (2020).pdf,Jaya-CSO + RNN,15,0,1,29,15,30,image,fundus,other,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.33,Recurrent Neural Network trained with Jaya-Chicken Swarm Optimization (hybrid optic disc + blood vessel + image-level features),claude_pdf
5,Aljohani (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Aljohani (2024).pdf,04_fulltext/pdfs/Aljohani (2024).pdf,"Hybrid ensemble (RF + ResNet50 + VGG-16, 2/3 voting)",159,21,1,299,180,300,image,fundus,other,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.375,"Ensemble of Random Forest, ResNet50, VGG-16 with 2/3 majority post-processing rule",claude_pdf
6,An (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/An (2019).pdf,04_fulltext/pdfs/An (2019).pdf,Random forest combining all 5 CNN feature vectors,208,0,31,118,208,149,eye,combined,expert ophthalmologist,Asia,internal,cross-sectional,yes,confirmed,POAG,50.85,0.583,"VGG19 CNN feature extraction + Random Forest (10,000 trees)",claude_pdf
