"Node","Studies","Rows","Sensitivity","Specificity","Youden","Se_mean","Sp_mean","Yd_mean","Glaucoma_Target"
"Reader only",7,14,"0.893 [0.837, 0.937]","0.928 [0.901, 0.948]","0.822 [0.756, 0.876]",0.893153507412358,0.928444605320563,0.821598112732921,"glaucoma"
"AI only",117,143,"0.936 [0.924, 0.946]","0.946 [0.937, 0.955]","0.882 [0.863, 0.899]",0.936105533073214,0.946340088855964,0.882445621929178,"glaucoma"
"Reader only",3,3,"0.555 [0.268, 0.821]","0.712 [0.297, 0.937]","0.267 [-0.221, 0.634]",0.555056299930977,0.711661757001871,0.266718056932847,"referable glaucoma"
"AI only",8,10,"0.775 [0.621, 0.888]","0.921 [0.816, 0.975]","0.696 [0.510, 0.825]",0.774572004732377,0.921356728973205,0.695928733705582,"referable glaucoma"
"Reader only",4,7,"0.795 [0.650, 0.895]","0.873 [0.770, 0.939]","0.668 [0.486, 0.807]",0.794877855693917,0.872994688384068,0.667872544077986,"GON"
"AI only",17,26,"0.877 [0.831, 0.916]","0.900 [0.861, 0.930]","0.777 [0.712, 0.832]",0.87715461753036,0.900148578538752,0.777303196069111,"GON"
"Reader only",1,1,"0.801 [0.347, 0.978]","0.839 [0.451, 0.979]","0.641 [0.086, 0.902]",0.801347984721479,0.839316964773182,0.640664949494661,"glaucoma suspect"
"AI only",4,6,"0.869 [0.701, 0.962]","0.885 [0.744, 0.963]","0.754 [0.528, 0.883]",0.868749257040695,0.885351135981521,0.754100393022216,"glaucoma suspect"
"Reader only",1,3,"0.674 [0.195, 0.949]","0.726 [0.259, 0.967]","0.400 [-0.217, 0.803]",0.673696526968916,0.726148096574786,0.399844623543702,"POAG"
"AI only",4,4,"0.898 [0.715, 0.974]","0.933 [0.811, 0.984]","0.831 [0.605, 0.932]",0.897927611909017,0.932722342038048,0.830649953947065,"POAG"
