"Term","Metric","Estimate","Lo","Hi","Significant"
"modality_stdOCT","Sensitivity",-0.0238278533199131,-1.2739679220303,1.22631221539047,"Not significant"
"modality_stdFundus+OCT","Sensitivity",-0.793675470115431,-3.04376076549637,1.45640982526551,"Not significant"
"validation_stdInternal","Sensitivity",-0.0343601664740404,-0.991916488940365,0.923196155992284,"Not significant"
"prospective_stdNo","Sensitivity",0.649268486771406,-0.601915611768805,1.90045258531162,"Not significant"
"vendor_invUnclear","Sensitivity",-1.06008605384585,-2.3589248671874,0.238752759495696,"Not significant"
"scale(age_num)","Sensitivity",-0.18116406856924,-0.691910239653109,0.32958210251463,"Not significant"
"scale(prevalence)","Sensitivity",0.325587452097549,-0.111944980546516,0.763119884741614,"Not significant"
"modality_stdOCT","Specificity",0.113481100832153,-0.790511296257127,1.01747349792143,"Not significant"
"modality_stdFundus+OCT","Specificity",-1.31053808754415,-3.29132095940707,0.670244784318771,"Not significant"
"validation_stdInternal","Specificity",-0.0133168264097798,-0.781165122217684,0.754531469398125,"Not significant"
"prospective_stdNo","Specificity",0.76062228868075,-0.0270822524310886,1.54832682979259,"Not significant"
"vendor_invUnclear","Specificity",-0.133866545896193,-1.0665535724525,0.798820480660111,"Not significant"
"scale(age_num)","Specificity",0.11192582029266,-0.273220858385875,0.497072498971195,"Not significant"
"scale(prevalence)","Specificity",0.0458008813958073,-0.331450051589968,0.423051814381583,"Not significant"
