"Covariate","Level","Metric","Estimate","Lo","Hi","Significant"
"Modality","OCT vs Fundus","Sensitivity",0.210490088858606,-0.325735254869072,0.746715432586285,"Not significant"
"Modality","Fundus+OCT vs Fundus","Sensitivity",-0.399612218287665,-1.26273115642601,0.463506719850684,"Not significant"
"Modality","OCT vs Fundus","Specificity",0.659987074830314,0.264557715166424,1.0554164344942,"Significant"
"Modality","Fundus+OCT vs Fundus","Specificity",-0.191709242455175,-0.956533489979709,0.573115005069359,"Not significant"
"Validation","External vs Internal","Sensitivity",-0.944551609797508,-1.26031025446455,-0.628792965130471,"Significant"
"Validation","External vs Internal","Specificity",-0.455952769518684,-0.711963704085007,-0.19994183495236,"Significant"
"Study design","Yes vs No","Sensitivity",-0.546086766554654,-1.34745003976568,0.255276506656376,"Not significant"
"Study design","Yes vs No","Specificity",0.0485017366548273,-0.381918491632053,0.478921964941708,"Not significant"
"Vendor involvement","Unclear vs Yes","Sensitivity",-0.155533031512888,-0.65617707489186,0.345111011866084,"Not significant"
"Vendor involvement","Unclear vs Yes","Specificity",0.352431216080582,-0.0626504988181363,0.767512930979301,"Not significant"
"Region","North America vs Asia","Sensitivity",-0.559005222287322,-0.920276376734495,-0.197734067840149,"Significant"
"Region","Europe vs Asia","Sensitivity",0.414261854878278,-0.259595912658887,1.08811962241544,"Not significant"
"Region","Mixed vs Asia","Sensitivity",0.186262749295209,-0.778992715904475,1.15151821449489,"Not significant"
"Region","Other vs Asia","Sensitivity",-0.0674978980165238,-1.10688674697048,0.971890950937432,"Not significant"
"Region","North America vs Asia","Specificity",-0.468003501135107,-0.738937531110177,-0.197069471160038,"Significant"
"Region","Europe vs Asia","Specificity",0.284576820524708,-0.233696531948745,0.802850172998161,"Not significant"
"Region","Mixed vs Asia","Specificity",-0.159069391839291,-1.06277432269518,0.744635539016602,"Not significant"
"Region","Other vs Asia","Specificity",0.481204793149711,-0.475411562404412,1.43782114870383,"Not significant"
"Glaucoma target","GON vs glaucoma","Sensitivity",-0.607633439703498,-0.990454353680043,-0.224812525726952,"Significant"
"Glaucoma target","referable glaucoma vs glaucoma","Sensitivity",-1.62722823097186,-1.95657981979123,-1.2978766421525,"Significant"
"Glaucoma target","glaucoma suspect vs glaucoma","Sensitivity",-1.06105589602866,-2.22723606183289,0.105124269775558,"Not significant"
"Glaucoma target","POAG vs glaucoma","Sensitivity",-1.22382034393356,-2.29893003840125,-0.14871064946588,"Significant"
"Glaucoma target","GON vs glaucoma","Specificity",-0.775707870138712,-1.07835342058762,-0.473062319689807,"Significant"
"Glaucoma target","referable glaucoma vs glaucoma","Specificity",-1.0026903608419,-1.22486019397412,-0.780520527709682,"Significant"
"Glaucoma target","glaucoma suspect vs glaucoma","Specificity",-0.971011959912336,-1.8451846485285,-0.096839271296173,"Significant"
"Glaucoma target","POAG vs glaucoma","Specificity",-0.400448549570626,-1.23955297285133,0.438655873710081,"Not significant"
"Glaucoma superclass","referable vs confirmed/detected","Sensitivity",-1.40875469534635,-1.72633409848657,-1.09117529220613,"Significant"
"Glaucoma superclass","referable vs confirmed/detected","Specificity",-0.751884298621472,-0.964638954513679,-0.539129642729264,"Significant"
"Age","Per SD increase","Sensitivity",-0.313509004306141,-0.688502387536764,0.0614843789244826,"Not significant"
"Age","Per SD increase","Specificity",0.0618325757161598,-0.228469636060521,0.352134787492841,"Not significant"
"Prevalence","Per SD increase","Sensitivity",0.671314293230739,0.527567288059517,0.81506129840196,"Significant"
"Prevalence","Per SD increase","Specificity",0.185929262298153,0.0491830081871177,0.322675516409187,"Significant"
