"Analysis","Node","Studies","Rows","Sensitivity","Se_Lo","Se_Hi","Specificity","Sp_Lo","Sp_Hi","Youden"
"Main analysis","Reader only",16,28,0.787837376153058,0.773025930844419,NA,0.852055587724378,0.840214866599918,NA,0.639892963877435
"Main analysis","AI only",144,189,0.880067036765476,0.877406470107362,NA,0.907124761031412,0.90553881865651,NA,0.787191797796888
"Confirmed/detected only","Reader only",13,25,0.800942712110225,0.786040569720518,NA,0.849473684210526,0.836345192866558,NA,0.650416396320751
"Confirmed/detected only","AI only",136,179,0.914882987115435,0.912078303538384,NA,0.924010004771061,0.922035204641136,NA,0.838892991886496
"External validation only","Reader only",12,22,0.790585975024015,0.773107918333159,NA,0.84982332155477,0.835107536695005,NA,0.640409296578786
"External validation only","AI only",54,65,0.854335582100638,0.850489206445889,NA,0.90326852783811,0.901382722245966,NA,0.757604109938747
"Prospective only","Reader only",5,5,0.616438356164384,0.566553117818661,NA,0.846062052505967,0.821627295969566,NA,0.46250040867035
"Prospective only","AI only",15,19,0.859968968192397,0.846573183785639,NA,0.91663240131579,0.9111390099713,NA,0.776601369508187
"Fundus only","Reader only",10,13,0.71600566572238,0.692484881898783,NA,0.858463035019455,0.843395567802437,NA,0.574468700741835
"Fundus only","AI only",113,141,0.877038643849924,0.874154031769943,NA,0.903779203528298,0.902076153036379,NA,0.780817847378222
"OCT only","Reader only",4,8,0.920817369093231,0.901903651272685,NA,0.863363363363363,0.837277852520241,NA,0.784180732456595
"OCT only","AI only",29,37,0.900519031141868,0.892802740045612,NA,0.940775305096913,0.936392724716946,NA,0.841294336238782
