"Covariate","Level","Metric","Estimate","Lo","Hi","Significant"
"Modality","OCT vs Fundus","Sensitivity",0.165131270038114,-0.618146564296734,0.948409104372962,"Not significant"
"Modality","Mixed/Other vs Fundus","Sensitivity",-1.32056713046542,-1.86480334620501,-0.776330914725824,"Significant"
"Modality","OCT vs Fundus","Specificity",1.44924141672822,0.729078051668999,2.16940478178743,"Significant"
"Modality","Mixed/Other vs Fundus","Specificity",0.0893246060427448,-0.522137154896281,0.70078636698177,"Not significant"
"Validation","External vs Internal","Sensitivity",0.28179636240145,-0.285028403969495,0.848621128772396,"Not significant"
"Validation","Other/unclear vs Internal","Sensitivity",-0.104153738662731,-6.18444930896325,5.97614183163779,"Not significant"
"Validation","External vs Internal","Specificity",0.0173023700586749,-0.376905094627016,0.411509834744366,"Not significant"
"Validation","Other/unclear vs Internal","Specificity",-0.199192532934055,-3.63489946899153,3.23651440312342,"Not significant"
"Study design","Yes vs No","Sensitivity",0.675474897563727,-0.885180370498835,2.23613016562629,"Not significant"
"Study design","Unclear vs No","Sensitivity",-0.48220829149504,-1.04780868060461,0.0833920976145316,"Not significant"
"Study design","Yes vs No","Specificity",1.21154206388586,0.300056513592075,2.12302761417964,"Significant"
"Study design","Unclear vs No","Specificity",-0.181297247904282,-0.604523852055972,0.241929356247409,"Not significant"
"Vendor involvement","Yes vs No","Sensitivity",0.690387786404726,0.0787511389106033,1.30202443389885,"Significant"
"Vendor involvement","Yes vs No","Specificity",0.248269845100389,-0.189785054242547,0.686324744443324,"Not significant"
"Region","North America vs Asia","Sensitivity",-1.49626599328402,-1.91422377463216,-1.07830821193589,"Significant"
"Region","Europe vs Asia","Sensitivity",-1.25210779416495,-1.90713648707024,-0.597079101259659,"Significant"
"Region","Oceania vs Asia","Sensitivity",0.791382882849157,-0.88101006288501,2.46377582858332,"Not significant"
"Region","Mixed vs Asia","Sensitivity",0.698012908243283,0.125980027175769,1.2700457893108,"Significant"
"Region","North America vs Asia","Specificity",-0.148666085361176,-0.629835864964977,0.332503694242625,"Not significant"
"Region","Europe vs Asia","Specificity",-0.828088660219716,-1.45890116472055,-0.197276155718885,"Significant"
"Region","Oceania vs Asia","Specificity",0.278421669057218,-1.9326867127531,2.48953005086754,"Not significant"
"Region","Mixed vs Asia","Specificity",-0.00294300626890289,-0.490492245248014,0.484606232710208,"Not significant"
"Age","Per SD increase","Sensitivity",-1.00126404477392,-1.32420419732821,-0.678323892219638,"Significant"
"Age","Per SD increase","Specificity",-0.290762941742861,-0.706773412330639,0.125247528844916,"Not significant"
"Prevalence","Per SD increase","Sensitivity",-0.223069286017174,-0.546161561073705,0.100022989039358,"Not significant"
"Prevalence","Per SD increase","Specificity",-0.0143132102144297,-0.21792460732364,0.18929818689478,"Not significant"
