"Term","Metric","Estimate","Lo","Hi","Significant"
"modality_stdOCT","Sensitivity",0.346718805022498,-0.340239295262004,1.033676905307,"Not significant"
"modality_stdMixed/Other","Sensitivity",-1.03723499182995,-1.94822090261284,-0.126249081047061,"Significant"
"validation_stdInternal","Sensitivity",-0.993647640425444,-1.9528658878929,-0.0344293929579922,"Significant"
"prospective_stdNo","Sensitivity",-0.1500497610958,-1.25547092338078,0.955371401189179,"Not significant"
"prospective_stdUnclear","Sensitivity",-0.838956562669263,-2.21908089009781,0.541167764759285,"Not significant"
"vendor_invNo","Sensitivity",0.91767210354819,-0.123316500491259,1.95866070758764,"Not significant"
"scale(age_num)","Sensitivity",-0.573912851399486,-0.966795384783576,-0.181030318015397,"Significant"
"scale(prevalence)","Sensitivity",0.0255075921100707,-0.457209981818053,0.508225166038194,"Not significant"
"modality_stdOCT","Specificity",2.47930620700615,1.75410139369289,3.20451102031942,"Significant"
"modality_stdMixed/Other","Specificity",1.10179067349603,-0.000764507213340426,2.20434585420541,"Not significant"
"validation_stdInternal","Specificity",-0.0361803526799571,-1.18784908954302,1.1154883841831,"Not significant"
"prospective_stdNo","Specificity",-1.37171059685273,-2.39130799356551,-0.352113200139953,"Significant"
"prospective_stdUnclear","Specificity",-1.10602657951861,-2.3906311825454,0.178578023508173,"Not significant"
"vendor_invNo","Specificity",-1.03617667694711,-2.44955117823441,0.377197824340181,"Not significant"
"scale(age_num)","Specificity",0.242501907349875,-0.114679910561423,0.599683725261174,"Not significant"
"scale(prevalence)","Specificity",-0.0285162702819803,-0.576509113659684,0.519476573095724,"Not significant"
