"Analysis","Node","Studies","Rows","Sensitivity","Se_Lo","Se_Hi","Specificity","Sp_Lo","Sp_Hi","Youden"
"Main analysis","Reader only",13,13,0.901025641025641,0.887770978047057,NA,0.95,0.945974371622145,NA,0.851025641025641
"Main analysis","AI only",85,85,0.837553065361227,0.834391573510899,NA,0.924686767098396,0.923005601959137,NA,0.762239832459623
"Confirmed/detected only","Reader only",13,13,0.901025641025641,0.887770978047057,NA,0.95,0.945974371622145,NA,0.851025641025641
"Confirmed/detected only","AI only",85,85,0.837553065361227,0.834391573510899,NA,0.924686767098396,0.923005601959137,NA,0.762239832459623
"External validation only","Reader only",10,10,0.910535609181872,0.896963949719378,NA,0.960912740333826,0.957008537170202,NA,0.871448349515698
"External validation only","AI only",30,30,0.850548557496952,0.84424892993969,NA,0.920321615331137,0.917403558804267,NA,0.770870172828089
"No vendor involvement","Reader only",5,5,0.843184559710495,0.818431177964904,NA,0.88294930875576,0.869422944413912,NA,0.726133868466255
"No vendor involvement","AI only",61,61,0.822274175433771,0.818687004794142,NA,0.923868392748383,0.92199718421627,NA,0.746142568182155
"Prospective only","Reader only",3,3,0.961009174311927,0.942839053721195,NA,0.976368876080692,0.969221354356569,NA,0.937378050392618
"Prospective only","AI only",9,9,0.894299287410926,0.873531968816406,NA,0.964233038348083,0.957243584246537,NA,0.858532325759009
"Fundus only","Reader only",10,10,0.882314694408322,0.866210063371363,NA,0.95034694061458,0.946305209895316,NA,0.832661635022903
"Fundus only","AI only",65,65,0.871060171919771,0.867508376508922,NA,0.918051649194579,0.916129439195533,NA,0.78911182111435
"OCT only","Reader only",3,3,0.970873786407767,0.954635848888093,NA,0.92638036809816,0.886288733689296,NA,0.897254154505926
"OCT only","AI only",12,12,0.902629708599858,0.893686024689126,NA,0.972993591699725,0.969069029130153,NA,0.875623300299583
