"Node","Sensitivity","Specificity","Excluded","Ref_Se","Ref_Sp","Delta_Se","Delta_Sp"
"Reader only",0.90697358488736,0.92906879070535,"ST001",0.907346411349033,0.927515708818799,-0.000372826461672471,0.00155308188655068
"AI only",0.919606411775662,0.943164247695591,"ST001",0.917522396083622,0.942286780426546,0.00208401569203986,0.000877467269045029
"Reader only",0.9067776001455,0.927551360544381,"ST002",0.907346411349033,0.927515708818799,-0.00056881120353236,3.56517255823974e-05
"AI only",0.917449434187871,0.94166913877712,"ST002",0.917522396083622,0.942286780426546,-7.29618957515665e-05,-0.000617641649425238
"Reader only",0.906421766153889,0.927600079258751,"ST003",0.907346411349033,0.927515708818799,-0.000924645195143459,8.43704399520195e-05
"AI only",0.917244478750349,0.941562402336538,"ST003",0.917522396083622,0.942286780426546,-0.000277917333273758,-0.000724378090007693
"Reader only",0.907619872389888,0.929467281452197,"ST004",0.907346411349033,0.927515708818799,0.000273461040854794,0.00195157263339762
"AI only",0.917562871192171,0.941275319021275,"ST004",0.917522396083622,0.942286780426546,4.04751085485433e-05,-0.00101146140527086
"Reader only",0.908419120244637,0.928440624341861,"ST005",0.907346411349033,0.927515708818799,0.00107270889560407,0.000924915523062175
"AI only",0.91698717458085,0.941143176051509,"ST005",0.917522396083622,0.942286780426546,-0.000535221502771965,-0.00114360437503636
"Reader only",0.907298378749674,0.92843855973889,"ST006",0.907346411349033,0.927515708818799,-4.8032599359149e-05,0.000922850920090923
"AI only",0.919356220361867,0.942858357986145,"ST006",0.917522396083622,0.942286780426546,0.00183382427824497,0.000571577559598913
"Reader only",0.906085847216626,0.928123361658673,"ST007",0.907346411349033,0.927515708818799,-0.00126056413240683,0.000607652839874406
"AI only",0.919580412184003,0.942004266950836,"ST007",0.917522396083622,0.942286780426546,0.00205801610038081,-0.000282513475709956
"Reader only",0.907304402776226,0.927216456255343,"ST008",0.907346411349033,0.927515708818799,-4.20085728065622e-05,-0.000299252563455865
"AI only",0.919106821621462,0.942531115297765,"ST008",0.917522396083622,0.942286780426546,0.00158442553783977,0.000244334871219221
"Reader only",0.914276361463239,0.933202206122756,"ST009",0.907346411349033,0.927515708818799,0.00692995011420616,0.00568649730395665
"AI only",0.919736498466459,0.942368747347808,"ST009",0.917522396083622,0.942286780426546,0.00221410238283648,8.19669212621665e-05
"Reader only",0.9079400724069,0.927856283406452,"ST010",0.907346411349033,0.927515708818799,0.00059366105786729,0.000340574587652576
"AI only",0.919500696094008,0.942457329325769,"ST010",0.917522396083622,0.942286780426546,0.0019783000103859,0.000170548899223522
"Reader only",0.906131219618694,0.926623057537707,"ST011",0.907346411349033,0.927515708818799,-0.00121519173033846,-0.000892651281091839
"AI only",0.918045787623447,0.942339457079265,"ST011",0.917522396083622,0.942286780426546,0.000523391539824614,5.26766527194633e-05
"Reader only",0.905757218088835,0.92754810960281,"ST012",0.907346411349033,0.927515708818799,-0.00158919326019813,3.24007840107887e-05
"AI only",0.91734797754207,0.943686012519306,"ST012",0.917522396083622,0.942286780426546,-0.000174418541552646,0.00139923209276027
"Reader only",0.908587006700698,0.929204261873876,"ST013",0.907346411349033,0.927515708818799,0.00124059535166499,0.0016885530550772
"AI only",0.919707276303875,0.941635289832205,"ST013",0.917522396083622,0.942286780426546,0.00218488022025232,-0.000651490594340665
"Reader only",0.916165608435455,0.931435802822391,"ST014",0.907346411349033,0.927515708818799,0.00881919708642243,0.00392009400359161
"AI only",0.917769216244024,0.941921435794938,"ST014",0.917522396083622,0.942286780426546,0.00024682016040134,-0.000365344631607534
"Reader only",0.905025080292647,0.928520223267581,"ST015",0.907346411349033,0.927515708818799,-0.00232133105638543,0.00100451444878191
"AI only",0.919633953820722,0.941612995288484,"ST015",0.917522396083622,0.942286780426546,0.00211155773709926,-0.000673785138061378
"Reader only",0.905655287499863,0.929126559465507,"ST016",0.907346411349033,0.927515708818799,-0.00169112384917025,0.00161085064670785
"AI only",0.915390602104819,0.939668347207311,"ST016",0.917522396083622,0.942286780426546,-0.00213179397880314,-0.00261843321923472
"Reader only",0.906307280292311,0.929049520420244,"ST017",0.907346411349033,0.927515708818799,-0.00103913105672149,0.0015338116014445
"AI only",0.915945590036706,0.940128162610513,"ST017",0.917522396083622,0.942286780426546,-0.00157680604691623,-0.00215861781603299
"Reader only",0.908288748357208,0.926760092796362,"ST018",0.907346411349033,0.927515708818799,0.00094233700817492,-0.000755616022436789
"AI only",0.918675798247052,0.94246609526425,"ST018",0.917522396083622,0.942286780426546,0.00115340216342996,0.000179314837704503
"Reader only",0.904986632812561,0.927230948660055,"ST019",0.907346411349033,0.927515708818799,-0.00235977853647207,-0.000284760158743791
"AI only",0.919251007682311,0.942055629176688,"ST019",0.917522396083622,0.942286780426546,0.0017286115986882,-0.000231151249858286
"Reader only",0.912922027819083,0.932630710972348,"ST020",0.907346411349033,0.927515708818799,0.00557561647005034,0.00511500215354865
"AI only",0.920488097375102,0.941289913890203,"ST020",0.917522396083622,0.942286780426546,0.00296570129147922,-0.000996866536343122
"Reader only",0.905369204426444,0.92731939317013,"ST021",0.907346411349033,0.927515708818799,-0.00197720692258907,-0.000196315648668621
"AI only",0.918461791654088,0.94206885583487,"ST021",0.917522396083622,0.942286780426546,0.000939395570465296,-0.000217924591675356
"Reader only",0.904503171618805,0.930815653090186,"ST022",0.907346411349033,0.927515708818799,-0.00284323973022804,0.00329994427138702
"AI only",0.917977245959201,0.941820354410374,"ST022",0.917522396083622,0.942286780426546,0.000454849875578867,-0.000466426016171861
