"study_label","cohort_id","two_node","tp","fp","tn","fn","n_total","prevalence","sensitivity","specificity","youden","modality_std","validation_std"
"Ahn (2018)","BLK0002","AI only",4731,1562,7628,901,14822,0.379975711779787,0.840021306818182,0.830032644178455,0.670053950996637,"Fundus","Internal"
"Ahn (2022)","BLK0003","AI only",33,7,89,1,130,0.261538461538462,0.970588235294118,0.927083333333333,0.897671568627451,"Fundus","Internal"
"An (2021)","BLK0006","AI only",87,3,60,6,156,0.596153846153846,0.935483870967742,0.952380952380952,0.887864823348694,"OCT","Internal"
"Bhadoria (2021)","BLK0009","AI only",67,1,69,3,140,0.5,0.957142857142857,0.985714285714286,0.942857142857143,"Fundus","Internal"
"Bhatia (2025)","BLK0010","AI only",242,4,246,8,500,0.5,0.968,0.984,0.952,"Fundus","Internal"
"Bhuiyan (2021)","BLK0011","AI only",149,68,384,37,638,0.29153605015674,0.801075268817204,0.849557522123894,0.650632790941098,"Fundus","External"
"Cao (2023)","BLK0012","AI only",36,38,544,19,637,0.086342229199372,0.654545454545455,0.934707903780069,0.589253358325523,"Fundus","External"
"Chai (2018)","BLK0013","AI only",945,139,1392,78,2554,0.400548159749413,0.92375366568915,0.909209666884389,0.832963332573539,"Fundus","Internal"
"Chakrabarty (2016)","BLK0014","AI only",121,41,104,48,314,0.538216560509554,0.715976331360947,0.717241379310345,0.433217710671292,"Fundus","External"
"Chakrabarty (2016)","BLK0015","Reader only",130,26,119,39,314,0.538216560509554,0.769230769230769,0.820689655172414,0.589920424403183,"Fundus","External"
"Chen (2025)","BLK0016","AI only",92,17,214,16,339,0.31858407079646,0.851851851851852,0.926406926406926,0.778258778258778,"Fundus","External"
"Cho (2024)","BLK0017","AI only",70,10,62,2,144,0.5,0.972222222222222,0.861111111111111,0.833333333333333,"Fundus","Internal"
"Christopher (2022)","BLK0018","AI only",429,61,150,32,672,0.686011904761905,0.93058568329718,0.710900473933649,0.641486157230829,"OCT","External"
"Christopher (2026)","BLK0019","AI only",8170,376,7149,3501,19196,0.607991248176703,0.70002570473824,0.950033222591362,0.650058927329602,"Mixed/Other","Internal"
"Diaz-Pinto (2019)","BLK0020","AI only",108,50,405,16,579,0.214162348877375,0.870967741935484,0.89010989010989,0.761077632045374,"Fundus","Internal"
"Diaz-Pinto (2019)","BLK0021","Reader only",123,188,1547,37,1895,0.0844327176781003,0.76875,0.89164265129683,0.66039265129683,"Fundus","Internal"
"Dong (2023)","BLK0022","AI only",329,6,124,134,593,0.780775716694772,0.710583153347732,0.953846153846154,0.664429307193886,"OCT","Internal"
"Elangovan (2022)","BLK0023","AI only",1022,3,940,5,1970,0.521319796954315,0.995131450827653,0.996818663838812,0.991950114666466,"Fundus","Internal"
"Elangovan (2025)","BLK0024","AI only",1111,8,1746,9,2874,0.389700765483646,0.991964285714286,0.995438996579247,0.987403282293533,"Fundus","Internal"
"Eswari (2024)","BLK0025","AI only",399,55,985,26,1465,0.290102389078498,0.938823529411765,0.947115384615385,0.885938914027149,"Fundus","Internal"
"Fan (2022)","BLK0026","AI only",373,532,5757,105,6767,0.0706369144377124,0.780334728033473,0.915407854984894,0.695742583018367,"Fundus","Internal"
"Flores (2025)","BLK0027","AI only",29,11,188,17,245,0.187755102040816,0.630434782608696,0.944723618090452,0.575158400699148,"Fundus","External"
"Flores (2025)","BLK0028","Reader only",37,27,172,9,245,0.187755102040816,0.804347826086957,0.864321608040201,0.668669434127158,"Fundus","External"
"Gaddipati (2022)","BLK0029","AI only",154,49,349,16,568,0.299295774647887,0.905882352941176,0.876884422110553,0.782766775051729,"Fundus","Internal"
