"Stratum","Test","Sensitivity","Specificity","Youden"
"Established keratoconus vs normal","Scheimpflug tomography","0.975 [0.958, 0.987]","0.985 [0.971, 0.994]","0.961 [0.939, 0.977]"
"Established keratoconus vs normal","Placido topography","0.964 [0.935, 0.983]","0.981 [0.957, 0.994]","0.945 [0.907, 0.971]"
"Established keratoconus vs normal","Combined (tomography+biomechanics)","0.937 [0.826, 0.988]","0.913 [0.707, 0.987]","0.850 [0.620, 0.959]"
"Established keratoconus vs normal","Biomechanics (Corvis ST)","0.925 [0.828, 0.976]","0.970 [0.904, 0.995]","0.895 [0.778, 0.962]"
"Established keratoconus vs normal","OCT","0.961 [0.910, 0.987]","0.977 [0.929, 0.996]","0.938 [0.868, 0.976]"
"Early / subclinical keratoconus vs normal","Scheimpflug tomography","0.965 [0.930, 0.985]","0.956 [0.907, 0.984]","0.921 [0.857, 0.960]"
"Early / subclinical keratoconus vs normal","Placido topography","0.659 [0.304, 0.922]","0.916 [0.675, 0.993]","0.575 [0.146, 0.878]"
"Early / subclinical keratoconus vs normal","Combined (tomography+biomechanics)","0.822 [0.641, 0.931]","0.925 [0.806, 0.984]","0.747 [0.524, 0.888]"
"Early / subclinical keratoconus vs normal","Biomechanics (Corvis ST)","0.974 [0.879, 0.999]","0.960 [0.807, 0.999]","0.934 [0.746, 0.994]"
"Early / subclinical keratoconus vs normal","OCT","0.989 [0.921, 1.000]","0.996 [0.967, 1.000]","0.985 [0.906, 1.000]"
