"Stratum","Excluded","Arm","Se_mean","Se_lo","Se_hi","Sp_mean","Sp_lo","Sp_hi","Full_Se","Full_Sp"
"Established keratoconus vs normal","S28","Scheimpflug tomography",0.973861659490431,0.958739600302701,0.984920713587196,0.984987224831552,0.970744602696202,0.993721442892503,NA,NA
"Established keratoconus vs normal","S28","Placido topography",0.961617493054446,0.933906692357311,0.980086158343826,0.978880831399152,0.954462332699263,0.992648271717162,NA,NA
"Established keratoconus vs normal","S28","Biomechanics (Corvis ST)",0.922640985997687,0.836972162387473,0.971732779136535,0.961246120814606,0.882968041357974,0.992768041661531,NA,NA
"Established keratoconus vs normal","S28","OCT",0.956935828338068,0.910422167336839,0.98283952550491,0.978616782469957,0.934071965254532,0.99614093737441,NA,NA
"Established keratoconus vs normal","S04","Scheimpflug tomography",0.97153989329974,0.956761346288412,0.982897298994641,0.983971256904469,0.969853730018742,0.992831792805151,NA,NA
"Established keratoconus vs normal","S04","Placido topography",0.961826607425617,0.936673680667309,0.979565693433014,0.978124152311495,0.953466770800731,0.991810651135258,NA,NA
"Established keratoconus vs normal","S04","Biomechanics (Corvis ST)",0.952725131469424,0.888490788839664,0.985997907456995,0.954506960488693,0.850611847660183,0.992367365605836,NA,NA
"Established keratoconus vs normal","S04","OCT",0.958045068245157,0.91298028110034,0.983030842803495,0.977050682209363,0.931148768329424,0.994970014140615,NA,NA
"Established keratoconus vs normal","S22","Scheimpflug tomography",0.972498198290457,0.956630953276936,0.984246836474982,0.984397437763135,0.969564798474471,0.993636820716866,NA,NA
"Established keratoconus vs normal","S22","Placido topography",0.962400184343046,0.930526660157946,0.981970881402787,0.976502923318756,0.946513701993715,0.992310858845455,NA,NA
"Established keratoconus vs normal","S22","Biomechanics (Corvis ST)",0.924321561931131,0.839604295820022,0.972830385359178,0.961684218877812,0.875094585765013,0.993321727353956,NA,NA
"Established keratoconus vs normal","S22","OCT",0.957078504830471,0.908534529733743,0.984263174271651,0.977490523997238,0.935279759097711,0.995593345260133,NA,NA
"Established keratoconus vs normal","S21e","Scheimpflug tomography",0.972111873293929,0.956336576735885,0.983836792959619,0.983722970818087,0.969361287906932,0.992858722491575,NA,NA
"Established keratoconus vs normal","S21e","Placido topography",0.96166907465367,0.932307947068905,0.980341247555786,0.978017753099034,0.952040591651832,0.991605817423783,NA,NA
"Established keratoconus vs normal","S21e","Biomechanics (Corvis ST)",0.924133225723793,0.842501506405499,0.974239243108153,0.960972105312312,0.880208760827182,0.992455896863287,NA,NA
"Established keratoconus vs normal","S21e","OCT",0.962198727803365,0.912524259262123,0.987261159459635,0.986286674530146,0.954108270132677,0.998112684396552,NA,NA
"Established keratoconus vs normal","S21a","Scheimpflug tomography",0.970514114467002,0.953147230143785,0.9821457984088,0.985941931993973,0.971799009573015,0.994091149639766,NA,NA
"Established keratoconus vs normal","S21a","Placido topography",0.961909757725695,0.933398796590532,0.979965788604506,0.978290626078778,0.951488717731522,0.992409127502577,NA,NA
"Established keratoconus vs normal","S21a","Biomechanics (Corvis ST)",0.923018177168818,0.838898338654812,0.972454546113165,0.963442011724153,0.887688447119182,0.993757882393487,NA,NA
"Established keratoconus vs normal","S21a","OCT",0.958308338808551,0.914327732937493,0.984145162624654,0.977308834475647,0.933515248417234,0.996439394633631,NA,NA
"Established keratoconus vs normal","S21b","Scheimpflug tomography",0.971822699001504,0.956151169034412,0.983706962717747,0.983827665402692,0.969840313682006,0.99264880603956,NA,NA
"Established keratoconus vs normal","S21b","Placido topography",0.96122748480533,0.931152680036715,0.980838582922766,0.978598306607559,0.954401536040727,0.99205431761439,NA,NA
"Established keratoconus vs normal","S21b","Biomechanics (Corvis ST)",0.924279258042258,0.838153188183722,0.973175832827611,0.964416517479453,0.896935574620871,0.99270742549593,NA,NA
"Established keratoconus vs normal","S21b","OCT",0.958406622855,0.905730898497454,0.985762966684217,0.97119831724035,0.912749541308357,0.994920758530733,NA,NA
"Established keratoconus vs normal","S21f","Scheimpflug tomography",0.972306541031098,0.957447977131692,0.983208283277866,0.984882750794146,0.970489016747347,0.993546962488797,NA,NA
"Established keratoconus vs normal","S21f","Placido topography",0.953748949484763,0.919663872051038,0.975843422738605,0.97838871489426,0.947968049878431,0.99311034001206,NA,NA
