"Stratum","Covariate","Level","Se_Mean","Se_Lo","Se_Hi","Se_Sig","Se_Pval","Sp_Mean","Sp_Lo","Sp_Hi","Sp_Sig","Sp_Pval"
"Established keratoconus vs normal","classifier","Traditional ML vs Deep learning",0.664021071738428,-0.0629115043215332,1.39358907785236,FALSE,0.07,0.506212340284205,-0.578053585360845,1.66351554866708,FALSE,0.369
"Established keratoconus vs normal","validation","Cross-validation vs Internal test set",0.863499454939863,0.238538428162911,1.52527185555426,TRUE,0.0085,0.347199406446175,-0.758614050919174,1.48747211616518,FALSE,0.5465
"Established keratoconus vs normal","validation","External validation vs Internal test set",-1.04363854077252,-1.87933931748857,-0.205030174228277,TRUE,0.017,-0.605943037491606,-2.26479996012456,1.07821874677139,FALSE,0.4745
"Established keratoconus vs normal","rob","High vs Low/Unclear",0.064441736622892,-0.67494013949586,0.810410735341223,FALSE,0.8815,0.332855088877245,-0.726822712035315,1.40393700322855,FALSE,0.533
"Established keratoconus vs normal","year_group","2023-2026 vs 2020-2022",-0.216365063456013,-1.1367556956914,0.720795492365375,FALSE,0.6335,-0.537133769693721,-1.78723777215195,0.869615565673874,FALSE,0.388
"Established keratoconus vs normal","year_group","Pre-2020 vs 2020-2022",-0.244651148992535,-1.13689250469307,0.689862200129516,FALSE,0.5845,0.0680882567351612,-1.23669261756349,1.43453041627008,FALSE,0.9265
"Established keratoconus vs normal","sample_size","Large (>=500) vs Medium (100-499)",-0.00663026382837191,-0.750452583856169,0.737255084800091,FALSE,0.9985,1.46969964181221,0.363829364894454,2.59376027511506,TRUE,0.0105
"Established keratoconus vs normal","sample_size","Small (<100) vs Medium (100-499)",-0.775046237130805,-1.80811853503298,0.250206152172814,FALSE,0.128,0.284513797091457,-1.19099611676707,1.93588925377454,FALSE,0.7315
"Established keratoconus vs normal","region","Americas vs Asia-Pacific",-0.812386951370204,-1.63006517161693,0.0518599815122064,FALSE,0.0615,0.23783654849651,-1.20041504570009,1.68003055550895,FALSE,0.744
"Established keratoconus vs normal","region","Europe vs Asia-Pacific",-0.0206097350302057,-0.853428626790748,0.831916489504826,FALSE,0.953,0.603522620526315,-0.766023248639676,2.0561477762104,FALSE,0.3995
"Established keratoconus vs normal","region","Middle East vs Asia-Pacific",0.351973147867555,-0.573818723446451,1.37050535848671,FALSE,0.467,1.0962260161336,-0.488476631101571,2.73866654084655,FALSE,0.1705
"Established keratoconus vs normal","input_type","Tabular parameters vs Image-based",0.113084367935413,-0.846507490088451,1.09463133624433,FALSE,0.8035,0.945073674686683,-0.610901224005322,2.50256249836581,FALSE,0.227
"Established keratoconus vs normal","external_val","Yes vs No",-1.30893523358159,-2.26725284091428,-0.357622132591481,TRUE,0.0105,-0.707900098553505,-2.35225472865301,0.896830230192276,FALSE,0.3825
"Early / subclinical keratoconus vs normal","classifier","Traditional ML vs Deep learning",-0.706020441680442,-2.62727745789798,1.4008421472547,FALSE,0.4735,-0.30805276566084,-2.24272010000325,1.82889840020797,FALSE,0.7165
"Early / subclinical keratoconus vs normal","validation","Cross-validation vs Internal test set",0.459239218199638,-1.93153296351527,3.06524104109891,FALSE,0.7425,1.34513552649187,-1.03543347153745,3.94877238702962,FALSE,0.296
"Early / subclinical keratoconus vs normal","validation","External validation vs Internal test set",2.25702028930261,-4.28053027925229,8.76356376763079,FALSE,0.4875,1.64562893150689,-4.91550733600781,8.26578126580168,FALSE,0.613
"Early / subclinical keratoconus vs normal","rob","High vs Low/Unclear",2.02712918767213,0.50858739910701,3.59516828497256,TRUE,0.0145,1.65254866191679,-0.147395894949008,3.84310245823128,FALSE,0.071
"Early / subclinical keratoconus vs normal","year_group","2023-2026 vs 2020-2022",1.96318943126703,-0.695668919631062,4.72264585727711,FALSE,0.1445,0.392674441749674,-2.09090532414364,2.98388438444239,FALSE,0.7715
"Early / subclinical keratoconus vs normal","year_group","Pre-2020 vs 2020-2022",0.65729479624345,-2.69473298551014,3.98987819802265,FALSE,0.6825,-0.157395058923689,-3.32981534315066,3.08570408410572,FALSE,0.914
"Early / subclinical keratoconus vs normal","sample_size","Large (>=500) vs Medium (100-499)",1.87906635992051,-0.536620944306878,4.38806540630059,FALSE,0.123,1.85718455402571,-0.890619677019132,4.7691475326424,FALSE,0.183
"Early / subclinical keratoconus vs normal","sample_size","Small (<100) vs Medium (100-499)",0.407145102377408,-1.40314880404681,2.28675159725167,FALSE,0.666,-0.310769635922182,-2.24143045679689,1.70826287955036,FALSE,0.7305
"Early / subclinical keratoconus vs normal","region","Americas vs Asia-Pacific",-0.914013719162398,-4.19950404074031,2.51020553064828,FALSE,0.5655,-1.07882979991388,-4.55953230911804,2.40157182354476,FALSE,0.509
"Early / subclinical keratoconus vs normal","region","Europe vs Asia-Pacific",1.25873566175786,-1.16586997747483,3.75194739564356,FALSE,0.301,0.367011110207891,-2.05097646236712,2.83726172854179,FALSE,0.77
"Early / subclinical keratoconus vs normal","region","Middle East vs Asia-Pacific",0.704807472787413,-1.6077470528362,3.31635159148488,FALSE,0.5485,0.804097259013759,-1.59988778778895,3.29251576615572,FALSE,0.5075
"Early / subclinical keratoconus vs normal","input_type","Tabular parameters vs Image-based",3.09172258048706,0.815473582588972,5.51778023144576,TRUE,0.0125,1.93611416769049,-0.352882433596406,4.35155280365583,FALSE,0.087
"Early / subclinical keratoconus vs normal","external_val","Yes vs No",2.32912196912188,-4.1073228205483,8.83198919907537,FALSE,0.485,1.66775125716434,-4.66474846900031,7.86952767700682,FALSE,0.6065
