source,title,abstract,year,journal,doi,pmid,rec_id,decision,model_decision,reason,model_reason,review_note,include_prob,exclude_prob,pico_population,pico_intervention,pico_comparison,pico_outcome,exclusion_reasons,p_matches,i_matches,c_matches,o_matches,exclusion_triggers,provider,model,verified
pubmed,Jan 6. A review of corneal imaging methods for the early diagnosis of pre-clinical Keratoconus,"BACKGROUND: Keratoconus (KC) is a corneal ectasia characterised by steepening corneal curvature, changes in refractive error and corneal thickness that result in visual impairment. Early signs of KC include displacement of the thinnest part of the cornea from the central position, changes in the corneal epithelial layer cell distribution, variations in the anterior corneal astigmatism/posterior corneal astigmatism relationship and a variation in corneal thickness. It is important that we review the corneal imaging methods for the diagnosis of preclinical KC. METHOD: An online literature search was carried out on PubMed. Only publications detailing corneal assessment procedures were considered for this review and any publication on instruments that did not generate KC predictability indices were also excluded from the review. The 308 publications were reviewed. DISCUSSION: Corneal assessment techniques, with the ability to characterise both the anterior and posterior corneal surfaces, are invaluable in the diagnosis of pre-clinical KC. Reflection based and elevation based corneal imaging systems should be used in conjunction with other assessments such as higher order aberration measuring systems to improve sensitivity and reliability in the diagnosis of pre-clinical KC. Ultra high resolution ultrasound can detect pre-clinical KC. The ability to asses both the epithelium and endothelium makes anterior surface optical coherence tomography a superior technique for pre-clinical KC diagnosis. There is a positive correlation between central corneal thickness and corneal hysteresis. Corneal biomechanics should be considered in conjunction with other corneal assessments in the diagnosis of pre-clinical KC. ANTECEDENTES: El queratocono (KC) es una ectasia corneal caracterizada por incremento de la curvatura corneal, cambios del error refractivo y espesor corneal que deriva en trastornos visuales. Los primeros signos de KC incluyen desplazamiento de la posición del punto más delgado de la córnea desde su posición central, cambios en la distribución de las células epiteliales de la córnea, variaciones en términos de la relación entre astigmatismo corneal anterior y posterior, y variación del espesor corneal. Es importante revisar los métodos de análisis por imagen corneal para diagnosticar el KC pre-clínico. MÉTODO: Se realizó una búsqueda online en la literatura científica en PubMed. Para esta revisión consideramos únicamente las publicaciones que detallaban los procedimientos de valoración corneal, excluyendo de la revisión cualquier publicación sobre los instrumentos que no generaban índices de predictabilidad del KC. Se revisaron 308 publicaciones. DISCUSIÓN: Las técnicas de valoración corneal con capacidad para caracterizar las superficies corneales anterior y posterior son inestimables para el diagnóstico del KC pre-clínico. Deberán utilizarse las técnicas de imagen corneal basados en reflexión y elevación, junto con otro tipo de valoraciones tales como los sistemas de medición de aberraciones de alto orden, para mejorar la sensibilidad y fiabilidad del diagnóstico del KC pre-clínico. La ecografía de ultra alta resolución puede servir también para detectar el KC pre-clínico. La capacidad de valorar tanto el epitelio como el endotelio hace de la tomografía de coherencia óptica una técnica superior para el diagnóstico del KC pre-clínico. Existe una correlación positiva entre el espesor corneal central y la histéresis corneal. Deberá considerarse la biomecánica corneal, junto con otros métodos de valoración corneal, para el diagnóstico del KC pre-clínico.",,,,31917136.0,,exclude,exclude,"The study focuses solely on corneal imaging methods without addressing any specific population, intervention, comparison, or outcome relevant to PICO criteria.","The study focuses solely on corneal imaging methods without addressing any specific population, intervention, comparison, or outcome relevant to PICO criteria.",,0.0,1.0,none,none,none,none,No specific population addressed.; No intervention or comparison provided.; No measurable outcomes discussed.,,,,,,openai,gpt-4o-mini,yes
pubmed,Dec 19. Optimized Artificial Intelligence for Enhanced Ectasia Detection Using Scheimpflug-Based Corneal Tomography and Biomechanical Data,"Rio de Janeiro, Brazil; Rio de Janeiro Corneal Tomography and Biomechanics Study of São Paulo, São Paulo, Brazil; Brazilian Artificial Intelligence Networking in Medicine (BrAIN), Maceio and Rio de Janeiro, Brazil; World College of Refractive Brazil; Brazilian Artificial Intelligence Networking in Medicine (BrAIN), Maceio Alagoas, Maceio, Brazil. Brazil. Rio de Janeiro, Brazil; Universidade Estadual de Ciências da Saúde de Alagoas (UNCISAL), Maceio, Alagoas, Brazil. São Paulo, Brazil; Brazilian Artificial Intelligence Networking in Medicine (BrAIN), Maceio and Rio de Janeiro, Brazil. Rio de Janeiro, Brazil; Rio de Janeiro Corneal Tomography and Biomechanics Study Group, Rio de Janeiro, Brazil. Brazil. Rio de Janeiro, Brazil; Brazilian Artificial Intelligence Networking in Medicine (BrAIN), Maceio and Rio de Janeiro, Brazil. Rio de Janeiro, Brazil. Engineering, the Ohio State University, Columbus, Ohio, USA. Kingdom; Beijing Advanced Innovation Center for Biomedical Engineering, Beihang University, Beijing, China; NIHR Biomedical Research Centre for Ophthalmology, London, United Kingdom. Humanitas Clinical and Research Center-IRCCS, Rozzano, Italy. Ophthalmology, Goethe University Frankfurt, Frankfurt am Main, Germany. Germany. USA; SurgiVision® Consultants, Inc, Scottsdale, Arizona, USA. Institute, Miller School of Medicine; Los Angeles, California, USA; School of Ophthalmology and Optometry, Wenzhou Medical University, Wenzhou, China; Light for Sight Foundation, Dietikon. Sight Foundation, Dietikon. Brazil; ELZA Institute, Dietikon, Swisstzerland; Light for Sight Foundation, Dietikon. Belgium; Emmetropia Mediterranean Eye Institute, Heraklion, Greece; Light for Sight Foundation, Dietikon. Osaka, Japan. Sankara Nethralaya, Chennai, Tamil Nadu, India. USA; Center for Refractive Surgery Muenster, Muenster; University Eye-Clinic, Ruhr-University, Bochum, Germany. Janeiro, Brazil; Diagnostica Oftalmologica e Microchirurgia Oculare (DOMA), Rome, Italy. Sciences Research Institute (ICVS), Escola de Medicina, Universidade do Minho, Braga, Portugal. Germany. Pittsburgh School of Medicine, Pittsburgh, PA, USA. Hong Kong, Hong Kong SAR, China. Portugal. USA; Reinstein Vision, London Vision Clinic, London, United Kingdom; Columbia University Medical Center, New York, New York, USA; Sorbonne Université, Paris, France; Biomedical Science Research Institute, Ulster University, Coleraine, United Kingdom. Nebraska. Reserve University, Cleveland, Ohio, USA. Sciences, Zahedan, Iran. India. Arizona, USA. São Paulo, Brazil; Brazilian Artificial Intelligence Networking in Medicine (BrAIN), Maceio and Rio de Janeiro, Brazil; The School of Engineering, PURPOSE: To optimize artificial intelligence (AI) algorithms to integrate Scheimpflug-based corneal tomography and biomechanics to enhance ectasia detection. DESIGN: Multicenter cross-sectional case-control retrospective study. METHODS: A total of 3886 unoperated eyes from 3412 patients had Pentacam and Corvis ST (Oculus Optikgeräte GmbH) examinations. The database included 1 eye randomly selected from 1680 normal patients (N) and from 1181 ""bilateral"" keratoconus (KC) patients, along with 551 normal topography eyes from patients with very asymmetric ectasia (VAE-NT), and their 474 unoperated ectatic (VAE-E) eyes. The current TBIv1 (tomographic-biomechanical index) was tested, and an optimized AI algorithm was developed for augmenting accuracy. RESULTS: The area under the receiver operating characteristic curve (AUC) of the TBIv1 for discriminating clinical ectasia (KC and VAE-E) was 0.999 (98.5% sensitivity; 98.6% specificity [cutoff: 0.5]), and for VAE-NT, 0.899 (76% sensitivity; 89.1% specificity [cutoff: 0.29]). A novel random forest algorithm (TBIv2), developed with 18 features in 156 trees using 10-fold cross-validation, had a significantly higher AUC (0.945; DeLong, P < .0001) for detecting VAE-NT (84.4% sensitivity and 90.1% specificity; cutoff: 0.43; DeLong, P < .0001) and a similar AUC for clinical ectasia (0.999; DeLong, P = .818; 98.7% sensitivity; 99.2% specificity [cutoff: 0.8]). Considering all cases, the TBIv2 had a higher AUC (0.985) than TBIv1 (0.974; DeLong, P < .0001). CONCLUSIONS: AI optimization to integrate Scheimpflug-based corneal tomography and biomechanical assessments augments accuracy for ectasia detection, characterizing ectasia susceptibility in the diverse VAE-NT group. Some patients with VAE may have true unilateral ectasia. Machine learning considering additional data, including epithelial thickness or other parameters from multimodal refractive imaging, will continuously enhance accuracy. NOTE: Publication of this article is sponsored by the American Ophthalmological Society.",,,,36549584.0,,include,exclude,The study focuses on AI for ectasia detection without addressing specific PICO elements.,The study focuses on AI for ectasia detection without addressing specific PICO elements.,,0.0,1.0,none,none,none,none,No specific population addressed.; No intervention or comparison defined.; No relevant outcome reported.,,,,,,openai,gpt-4o-mini,yes
pubmed,10.1002/14651858.CD014911.pub2. Artificial intelligence for detecting keratoconus,,,,,37965960.0,,exclude,exclude,"The study does not address any specific population, intervention, comparison, or outcome relevant to PICO criteria.","The study does not address any specific population, intervention, comparison, or outcome relevant to PICO criteria.",,0.0,1.0,none,none,none,none,No specific population addressed.; No intervention discussed.; No comparison made.; No outcome measured.,,,,,,openai,gpt-4o-mini,yes
pubmed,"RMMAN: Carl Zeiss Meditec AG (Independent Contractor ‐ Consultant), Alcon Laboratories Inc (Independent Contractor ‐ Consultant), Johnson & Johnson Health Care Systems Inc. (Independent Contractor ‐ Consultant) GV: former Cochrane Editor, has not been involved in the editorial process of this review MMD: Maastricht University (Employment), Maastricht Universitair Medisch Centrum (MUMC+) (Employment) 4. Br J Ophthalmol. 2019 Apr;103(4):551-557. doi: 10.1136/bjophthalmol-2017-311651","AIM: To define variables for the evaluation of keratoconus progression and to determine cut-off values. METHODS: In this retrospective cohort study (2010-2016), 265 eyes of 165 patients diagnosed with keratoconus underwent two Scheimpflug measurements (Pentacam) that took place 1 year apart ±3 months. Variables used for keratoconus detection were evaluated for progression and a correlation analysis was performed. By logistic regression analysis, a keratoconus progression index (KPI) was defined. Receiver-operating characteristic curve (ROC) analysis was performed and Youden Index calculated to determine cut-off values. RESULTS: Variables used for keratoconus detection showed a weak correlation with each other (eg, correlation r=0.245 between RPImin and Kmax, p<0.001). Therefore, we used parameters that took several variables into consideration (eg, D-index, index of surface variance, index for height asymmetry, KPI). KPI was defined by logistic regression and consisted of a Pachymin coefficient of -0.78 (p=0.001), a maximum elevation of back surface coefficient of 0.27 and coefficient of corneal curvature at the zone 3 mm away from the thinnest point on the posterior corneal surface of -12.44 (both p<0.001). The two variables with the highest Youden Index in the ROC analysis were D-index and KPI: D-index had a cut-off of 0.4175 (70.6% sensitivity) and Youden Index of 0.606. Cut-off for KPI was -0.78196 (84.7% sensitivity) and a Youden Index of 0.747; both 90% specificity. CONCLUSIONS: Keratoconus progression should be defined by evaluating parameters that consider several corneal changes; we suggest D-index and KPI to detect progression. © Author(s) (or their employer(s)) 2019. No commercial re-use. See rights and permissions. Published by BMJ.",,,,29858179.0,,exclude,exclude,"The study focuses on keratoconus progression evaluation without addressing any specific population, intervention, comparison, or outcome relevant to PICO criteria.","The study focuses on keratoconus progression evaluation without addressing any specific population, intervention, comparison, or outcome relevant to PICO criteria.",,0.0,1.0,none,none,none,none,No specific population addressed.; No intervention or treatment discussed.; No comparison group identified.; No clear outcome measures relevant to PICO.,,,,,,openai,gpt-4o-mini,yes
pubmed,Comparison of a Scheimpflug imaging with other screening indices in diagnosing keratoconus and keratoconus suspect,"Keratoconus (KC) is an irreversible blinding eye disease; therefore, early screening of KC suspects (KCS) is crucial for protecting patients' quality of life. Scheimpflug imaging is a commonly used screening device in clinical practice. We aimed to evaluate the diagnostic ability of a Scheimpflug imaging device (Scansys) for KC and KCS and compared it with other Scheimpflug-based devices (Pentacam and Corvis ST). This prospective case-control study included 107 normal eyes, 72 KCS, and 57 KC. Scansys screening index Keratoconus probability (KCP) showed excellent performance in diagnosing KC at a cutoff value of 16.4 (area under the receiver operating characteristic [AUROC] = 1.000), with 100% sensitivity and 98.11% specificity. KCP had a better KCS diagnostic ability at a cutoff value of 8.9 (AUROC = 0.813) than Corvis biomechanical index (CBI, AUROC = 0.764), reaching 67.61% sensitivity and 85.85% specificity. Pentacam screening index Belin/Ambrósio enhanced ectasia display deviation (BAD-D) showed the best performance with 92.96% sensitivity and 89.62% specificity at a cutoff value of 1.525 (AUROC = 0.970) in diagnosing KCS. Scansys provides accurate KCP parameters in diagnosing KC; however, the efficiency of diagnosing KCS should be further optimized. © 2024. The Author(s).",2024,Scientific reports (2024) 14:1 (23187). Date of Publication: 5 Oct 2024,10.1038/s41598-024-74497-z,39369097.0,WOS:001330396200032,exclude,exclude,The study focuses on diagnostic ability of Scheimpflug imaging for keratoconus without addressing specific PICO elements.,The study focuses on diagnostic ability of Scheimpflug imaging for keratoconus without addressing specific PICO elements.,,0.0,1.0,"Includes normal eyes, keratoconus suspects, and keratoconus patients.",Evaluates Scheimpflug imaging devices for diagnosis.,Compares Scansys with other devices like Pentacam and Corvis ST.,Focuses on diagnostic performance metrics.,Does not align with specific PICO criteria.; Focuses on diagnostic methods rather than interventions or outcomes.,normal eyes; Keratoconus suspects; Keratoconus patients,Scheimpflug imaging; Scansys; Pentacam; Corvis ST,other Scheimpflug-based devices,diagnostic ability; sensitivity; specificity,,openai,gpt-4o-mini,yes
pubmed,Artificial intelligence versus conventional methods for RGP lens fitting in keratoconus,"la Cornée, Sorbonne Université, Hôpital National des 15-20, Paris, France. Sciences, London, UK. la Cornée, Sorbonne Université, Hôpital National des 15-20, Paris, France. BACKGROUND: To compare the efficiency of three artificial intelligence (AI) frameworks (Standard Machine Learning (ML), Multi-Layer Perceptron (MLP) and Convolution Neural Networks (CNN)) with a reference method (Mean radius of curvature (K)) to predict the posterior radius of curvature of the best-fitted rigid contact lens (RCBFL) in keratoconus eyes. METHODS: This retrospective study included 197 keratoconus eyes of 135 patients fitted with Rose K2® (Menicon®, Nagoya, Japan) rigid contact lenses with one or more topographies available (MS39®, CSO®, Ferrara, Italy) between January 2020 and September 2022. Two types of topographic data (indices and reconstructed maps from raw data) were used for AI analysis. Three distinct approaches were utilized for leveraging AI: Standard ML methods and MLPs based on topographic indices and CNNs based on topographic maps (i.e., corneal thickness, sagittal, and tangential maps). Seventeen AI framework's accuracies were compared with the r2 determination coefficient of linear regression between predicted and best-fitted radii. Framework accuracies were compared with the Fisher z-transformation of Pearson correlation coefficients. RESULTS: In multiple linear regression, only three topographic indices (i.e., 3- & 5-mm mean K and Kmax) were significantly associated with RCBFL (p ≤ 0.0001). Compared with the reference method (mean-K; r2 = 0.36), a significantly better RCBFL prediction was achieved with Random Forest using the three topographic indices, MLP using all indices, ResNet18 CNN using anterior topographic maps and CNNs using combined parameters (0.69 ≤ r2 ≤ 0.80; p < 0.05). The best accuracy was obtained with the EfficientNetB0 CNN trained with three maps (r2 = 0.80). CONCLUSIONS: Artificial intelligence methods, particularly CNNs, with corneal topography data of MS39® topographer, have demonstrated superiority over conventional approaches in predicting the posterior curvature radius of Rose K2® rigid contact lenses in patients with keratoconus.",2025,Contact Lens and Anterior Eye (2025) 48:1 Article Number: 102321. Date of Publication: 1 Feb 2025,10.1016/j.clae.2024.102321,39500688.0,WOS:001409163900001,exclude,exclude,"The study focuses on AI methods for RGP lens fitting in keratoconus without addressing any specific population, intervention, comparison, or outcome relevant to PICO criteria.","The study focuses on AI methods for RGP lens fitting in keratoconus without addressing any specific population, intervention, comparison, or outcome relevant to PICO criteria.",,0.0,1.0,Keratoconus eyes and patients fitted with rigid contact lenses.,Artificial intelligence frameworks for lens fitting.,Conventional methods for lens fitting.,Prediction accuracy of posterior radius of curvature.,No explicit PICO elements addressed.; Focus on AI methods without broader clinical implications.,keratoconus eyes; patients,artificial intelligence methods; conventional methods,Mean radius of curvature (K),posterior radius of curvature prediction,,openai,gpt-4o-mini,yes
pubmed,10.1097/00055735-199508000-00010. Corneal topography,"As more clinicians utilize videokeratography, an understanding of corneal topography is assuming an increasing role in the practice of ophthalmology. During this past year investigators have critically examined the methods employed in the utility of these devices as well as the accuracy and reproducibility of the algorithms embodied in videokeratoscopes. Clinical studies of patients undergoing incisional surgery and excimer laser photoablation have yielded new information about the effects of surgery on corneal shape. This has resulted in new methods being devised to improve the ultimate refractive outcome of these procedures. Videokeratography screening prior to refractive surgery has received significant attention during this past year with articles focussing on screening for keratoconus, hypotheses about the effects of surgery on undetected keratoconus ""suspects,"" and results of incisional surgery on patients with atypical inferior steepening. Additionally, a new software program devised to screen for keratoconus on an automated basis has been developed. Corneal pachymetric topography, a novel technique of corneal analysis, is described for the first time this year.",,,,10150883.0,,exclude,exclude,The study discusses corneal topography and videokeratography without addressing specific PICO elements.,The study discusses corneal topography and videokeratography without addressing specific PICO elements.,,0.0,1.0,none,none,none,none,No specific population addressed.; No intervention discussed.; No comparison made.; No defined outcome presented.,,,,,,openai,gpt-4o-mini,yes
pubmed,"Contrast sensitivity and higher-order aberrations in Keratoconus subjects. Shneor E(1), Piñero DP(2), Doron R(3)","Haniviim St. 37, 9101001, Jerusalem, Israel. This study analyzes the relationship between contrast-sensitivity and higher-order aberrations (HOA) in mild and subclinical-keratoconus in subjects with good visual-acuity (VA). Keratoconus group (including subclinical-keratoconus) and controls underwent autokeratometry, corneal-tomography, autorefraction and HOA measurement. Contrast-sensitivity was tested using a psychophysical two-alternative forced-choice Gabor patches in three blocks (6, 9, 12 cycles/deg). Controls were compared to the keratoconus group and to a keratoconus subgroup with VA of 0.00 LogMar group (""keratoconus-0.00VA""). Spearman correlation tested association between HOA and contrast-sensitivity. Twenty-two keratoconus subjects (38 eyes: 28 keratoconus, 10 subclinical-keratoconus, 20 keratoconus-0.00VA) and 35 controls were included. There was a significant difference between control and keratoconus, and between control and keratoconus-0.00VA, for keratometry, cylinder, thinnest and central corneal thickness (p < 0.001). Controls showed lower HOA and higher contrast-sensitivity for all spatial-frequencies (p < 0.001). Most HOA were negatively correlated with contrast-sensitivity for all spatial-frequencies for keratoconus group and for 9 and 12 cycles/deg for keratoconus-0.00VA. Keratoconus subjects with good VA showed reduction in contrast-sensitivity and increased HOAs compared to controls. HOA and contrast-sensitivity are inversely correlated in subjects with mild keratoconus despite good VA. This suggests that the main mechanism underlying the decreased vision quality in keratoconus is the increase of HOA.",,,,34155283.0,,exclude,include,"The study analyzes contrast sensitivity and higher-order aberrations in keratoconus subjects, aligning with relevant PICO elements.","The study analyzes contrast sensitivity and higher-order aberrations in keratoconus subjects, aligning with relevant PICO elements.",,1.0,0.0,Keratoconus subjects and controls were included in the study.,The study involved measuring contrast sensitivity and higher-order aberrations.,Comparisons were made between keratoconus subjects and controls.,The outcomes measured were contrast sensitivity and higher-order aberrations.,,keratoconus subjects; subclinical-keratoconus; controls,contrast-sensitivity measurement; higher-order aberrations measurement,keratoconus group vs controls; keratoconus subgroup vs controls,contrast-sensitivity; higher-order aberrations,,openai,gpt-4o-mini,yes
pubmed,Aug 10. Parental Corneal Tomographic and Biomechanical Characteristics of Patients With Keratoconus,"Shandong, China; State Key Laboratory Cultivation Base (J.L., B.N.Z., X.W., D.L., X.D.), Shandong Provincial Key Laboratory of Ophthalmology, Qingdao, Shandong, China; School of Ophthalmology (J.L., B.N.Z., X.W., D.L., X.D.), Shandong First Medical University, Qingdao, Shandong, China. Medicine, Pittsburgh, Pennsylvania, USA. Shandong, China; State Key Laboratory Cultivation Base (J.L., B.N.Z., X.W., D.L., X.D.), Shandong Provincial Key Laboratory of Ophthalmology, Qingdao, Shandong, China; School of Ophthalmology (J.L., B.N.Z., X.W., D.L., X.D.), PURPOSE: To investigate the hereditability of corneal tomographic and biomechanical parameters in keratoconus (KC). DESIGN: Prospective cohort study. Medical University in Qingdao, China. Forty-four patients with KC and their biological parents (n = 88) were recruited as the study group. The control group consisted of 84 healthy adults with matched age and gender. Both eyes of each participant underwent clinical examinations, and 1 eye was selected for statistical analysis. Exclusion criteria were as follows: individuals with glaucoma, ocular surgery, systemic diseases known to affect the eyes, or poor cooperation during examination. Subjects were asked to discontinue soft contact lens (CL) wear for 2 weeks and rigid gas permeable CL wear for 4 weeks before ocular examination. All participants underwent a comprehensive assessment including Pentacam Scheimpflug tomography, Corvis ST, visual acuity, refraction examination, axial length, and slitlamp examination for both eyes. Individuals presenting with KC manifestations in at least 1 eye were classified as having KC. A total of 9 Pentacam indices including keratometry in the flat/steep meridian (K1/K2), maximal keratometry (Kmax), thinnest point pachymetry (TP), and maximum/average Ambrósio relational thickness (ARTmax/ARTave), anterior and posterior surfaces elevation of the cornea (Ef/Eb) and total deviation value (Final D), and 21 biomechanical indices were collected. Associations of these factors with KC were evaluated using multiple comparison and binary logistics regression analyses. RESULTS: Two parents (2.27%) from 2 different families were diagnosed with KC. Parents of patients with KC had thinner corneas with altered corneal biomechanical parameters compared with healthy controls (P < .05). The combined tomographic and biomechanical index demonstrated the highest discriminatory power (area under the receiver operating characteristic curve 0.785) and strong specificity (84.5%). Parental corneal tomographic and biomechanical index, Corvis biomechanical index, and TP were identified as the major influential factors for KC in their offspring by logistic regression analysis, with a 73.3% accuracy in identifying offspring with KC. CONCLUSIONS: Parental corneal tomographic and biomechanical properties of patients with KC suggest a possible predisposition to KC. A combination of tomography and corneal biomechanics can be helpful in predicting the incidence rate of KC in the offspring of patients with subclinical KC.",,,,37567431.0,,exclude,exclude,The study focuses on parental characteristics related to keratoconus without addressing specific PICO elements.,The study focuses on parental characteristics related to keratoconus without addressing specific PICO elements.,,0.0,1.0,Not specified.,Not specified.,Not specified.,Not specified.,"No specific population, intervention, comparison, or outcome relevant to PICO criteria.",,,,,,openai,gpt-4o-mini,yes
pubmed,Multimodal diagnostics for keratoconus and ectatic corneal diseases: a paradigm shift,"Different diagnostic approaches for ectatic corneal diseases (ECD) include screening, diagnosis confirmation, classification of the ECD type, severity staging, prognostic evaluation, and clinical follow-up. The comprehensive assessment must start with a directed clinical history. However, multimodal imaging tools, including Placido-disk topography, Scheimpflug three-dimensional (3D) tomography, corneal biomechanical evaluations, and layered (or segmental) tomography with epithelial thickness by optical coherence tomography (OCT), or digital very high-frequency ultrasound (dVHF-US) serve as fundamental complementary exams for measuring different characteristics of the cornea. Also, ocular wavefront analysis, axial length measurements, corneal specular or confocal microscopy, and genetic or molecular biology tests are relevant for clinical decisions. Artificial intelligence enhances interpretation and enables combining such a plethora of data, boosting accuracy and facilitating clinical decisions. The applications of diagnostic information for individualized treatments became relevant concerning the therapeutic refractive procedures that emerged as alternatives to keratoplasty. The first paradigm shift concerns the surgical management of patients with ECD with different techniques, such as crosslinking and intrastromal corneal ring segments. A second paradigm shift involved the quest for identifying patients at higher risk of progressive iatrogenic ectasia after elective refractive corrections on the cornea. Beyond augmenting the sensitivity to detect very mild (subclinical or fruste) forms of ECD, ectasia risk assessment evolved to characterize the inherent susceptibility for ectasia development and progression. Furthermore, ectasia risk is also related to environmental factors, including eye rubbing and the relational impact of the surgical procedure on the cornea. © 2023. The Author(s).",2023,EYE AND VISION,10.1186/s40662-023-00363-0,37919821.0,WOS:001092186100001,exclude,exclude,The study discusses multimodal diagnostics for keratoconus and ectatic corneal diseases without addressing specific PICO elements.,The study discusses multimodal diagnostics for keratoconus and ectatic corneal diseases without addressing specific PICO elements.,,0.0,1.0,none,none,none,none,No specific population addressed.; No specific intervention discussed.; No comparison made.; No clear outcome defined.,,,,,,openai,gpt-4o-mini,yes
