"Covariate","Level","Se_Mean","Se_Lo","Se_Hi","Se_Sig","Se_Pval","Sp_Mean","Sp_Lo","Sp_Hi","Sp_Sig","Sp_Pval"
"meta_regression_interpretation_pathway","Automated non-DL vs AI / deep learning",-0.195299565612615,-1.79038950151161,1.36552482986858,FALSE,0.827,0.10946813661067,-1.44649870128776,1.62831033093116,FALSE,0.912
"meta_regression_interpretation_pathway","Clinician vs AI / deep learning",1.1396948582755,-5.2252206130076,7.22331789605539,FALSE,0.728,1.41774164606004,-4.75554383406889,7.31350854733107,FALSE,0.642
"meta_regression_target_condition_definition","Cancer stage / severity discrimination vs OSCC/cancer vs non-cancer",-0.830189487017802,-2.1490606311423,0.393828027480841,FALSE,0.191,-0.030776217936528,-1.83401983471071,1.67009207952886,FALSE,0.985
"meta_regression_target_condition_definition","Dysplasia/OPMD vs non-dysplasia/normal vs OSCC/cancer vs non-cancer",-0.232140702191503,-0.66922590475883,0.229398149697251,FALSE,0.321,-0.624565047184496,-1.02683879222648,-0.220124166939999,TRUE,0.002
"meta_regression_target_condition_definition","Margin status / residual disease vs OSCC/cancer vs non-cancer",-0.796350107513632,-2.19096372552132,0.583067791359583,FALSE,0.249,-0.544940140777331,-2.4384600322016,1.32370358736288,FALSE,0.55
"meta_regression_target_condition_definition","Other / unclear vs OSCC/cancer vs non-cancer",-0.150526439940027,-1.35406681748047,1.12000729283993,FALSE,0.801,0.391313872674323,-0.84782252302239,1.66941141292048,FALSE,0.531
"meta_regression_in_vivo_ex_vivo","Ex vivo vs In vivo",0.533534043721567,-0.407450677797855,1.35142188669668,FALSE,0.2,0.0897735897151143,-1.4164385674963,1.54596803406125,FALSE,0.881
"meta_regression_in_vivo_ex_vivo","Intraoperative / margin-based vs In vivo",-0.451194625165044,-1.73172722221288,0.775027466081629,FALSE,0.472,-0.35807412235852,-2.34370611560044,1.58332519977183,FALSE,0.721
"meta_regression_per_patient_per_lesion","Image/patch-level vs Lesion/site-level",0.58312052807009,-0.400892803715254,1.56375526543072,FALSE,0.224,0.919049008008239,-0.475404491320396,2.28139365490757,FALSE,0.192
"meta_regression_per_patient_per_lesion","Patient-level vs Lesion/site-level",0.24186924512592,-1.24090174804771,1.7847189865818,FALSE,0.722,1.66492995351653,-0.415565087980487,3.87134182687717,FALSE,0.138
"meta_regression_center_type","Multicenter / multisetting vs Single-center",-0.509401709456747,-1.40433751017401,0.496833980150105,FALSE,0.258,-1.09612060978275,-2.5524094902502,0.655531430127192,FALSE,0.18
"meta_regression_OCT_platform_protocol","Other / custom / unclear vs Portable / point-of-care OCT",0.217000348895369,-1.02431945191518,1.31603473380945,FALSE,0.682,0.60950269948088,-1.26427085456341,2.27651994203765,FALSE,0.445
"meta_regression_OCT_platform_protocol","Standard structural / SD-OCT vs Portable / point-of-care OCT",0.0359806366913954,-1.30008142905555,1.36654836961091,FALSE,0.938,0.419030966723282,-1.6688878688607,2.56162097127644,FALSE,0.653
"meta_regression_OCT_platform_protocol","Swept-source OCT vs Portable / point-of-care OCT",0.611316664671905,-0.490090038837178,1.6563761288874,FALSE,0.222,1.16979211822915,-0.444209120265392,2.70640964336741,FALSE,0.165
"meta_regression_biopsy_site_matching","High vs Moderate",-0.122051858028214,-1.08389375462265,0.709296152237907,FALSE,0.768,-0.213490671161543,-1.49606742279904,1.06558662685346,FALSE,0.73
"meta_regression_biopsy_site_matching","Low / unclear vs Moderate",-0.246643092254484,-1.98439029849784,1.38822946766795,FALSE,0.744,-0.671312699099016,-3.34521477260517,2.03603009224049,FALSE,0.574
"meta_regression_publication_year","≤2012 vs 2021+",-0.36945541108933,-1.71922128467913,0.972265993006957,FALSE,0.584,0.143089080172112,-1.70250390489643,2.18350018256251,FALSE,0.895
"meta_regression_publication_year","2013–2020 vs 2021+",-0.149595864352227,-1.17334312724247,0.848337353032385,FALSE,0.749,-0.573806218071603,-2.02306480675618,0.906904607237552,FALSE,0.423
"meta_regression_AI_model_type","Classical ML / ANN vs CNN / deep residual",1.25178224806527,0.18860684075954,2.26342687672026,TRUE,0.031,2.2165951566821,0.54270437716514,3.82254744420528,TRUE,0.019
"meta_regression_AI_model_type","Hybrid / unclear vs CNN / deep residual",-0.249318501854591,-1.41430515279774,0.908904847218295,FALSE,0.671,0.763561221300007,-0.287632934629978,1.73940274777491,FALSE,0.149
"meta_regression_AI_model_type","Not applicable vs CNN / deep residual",1.15307751965756,-5.19628360759683,7.46940963897474,FALSE,0.709,1.36733288261741,-4.66493520935926,7.62377591085517,FALSE,0.66
"meta_regression_AI_model_type","Rule-based / threshold / engineered vs CNN / deep residual",1.27065250089867,-4.75918676242456,7.29918186575763,FALSE,0.689,1.14591879903495,-4.94281923413215,7.57699942175839,FALSE,0.732
"meta_regression_internal_external_validation","Not applicable vs Internal only",-0.587293975390148,-1.95390550567518,0.743580834384133,FALSE,0.376,1.06276963396482,-0.753331086071776,2.98497852986036,FALSE,0.263
"meta_regression_region_income","Non-Asia vs Asia",-0.33658248022733,-1.62725735202451,0.956825236551845,FALSE,0.599,0.206367424866494,-1.90001673855051,2.28427592785853,FALSE,0.82
"meta_regression_region_income","Unclear / mixed vs Asia",0.605706017785826,-0.481324100185554,1.67979584529997,FALSE,0.274,0.257717628088431,-1.53073611120806,1.93304916917986,FALSE,0.764
