"Stratum","Covariate","Level","Se_Mean","Se_Lo","Se_Hi","Se_Sig","Se_Pval","Sp_Mean","Sp_Lo","Sp_Hi","Sp_Sig","Sp_Pval"
"OSCC/cancer vs non-cancer","meta_regression_interpretation_pathway","Automated non-DL vs AI / deep learning",0.0770268490898976,-1.54998405985891,1.68653150485497,FALSE,0.926,0.0779830561217917,-1.27212431658856,1.44149372933979,FALSE,0.923
"OSCC/cancer vs non-cancer","meta_regression_interpretation_pathway","Clinician vs AI / deep learning",1.45321421737181,-4.70427707685873,7.56378832251039,FALSE,0.664,2.20624015428976,-4.0824032208872,8.52152015821625,FALSE,0.497
"OSCC/cancer vs non-cancer","meta_regression_in_vivo_ex_vivo","Ex vivo vs In vivo",0.635854668989331,-0.973519679804842,2.36740471131538,FALSE,0.378,0.706667251469,-1.5308762606392,2.8445525249241,FALSE,0.488
"OSCC/cancer vs non-cancer","meta_regression_per_patient_per_lesion","Image/patch-level vs Lesion/site-level",0.577692422202216,-1.04437593026252,2.25282502388349,FALSE,0.426,0.921065262187427,-1.40364053137064,3.19634787938552,FALSE,0.406
"OSCC/cancer vs non-cancer","meta_regression_per_patient_per_lesion","Patient-level vs Lesion/site-level",-0.200477816586727,-2.29104269672242,1.72047560006835,FALSE,0.829,1.28249426881048,-1.46995433434234,4.50661970474736,FALSE,0.429
"OSCC/cancer vs non-cancer","meta_regression_center_type","Multicenter / multisetting vs Single-center",-0.427230879256029,-2.01714015098319,1.20977993827553,FALSE,0.561,-1.50787307026596,-3.42408972919785,0.604145243881714,FALSE,0.146
"OSCC/cancer vs non-cancer","meta_regression_OCT_platform_protocol","Other / custom / unclear vs Portable / point-of-care OCT",-0.104905727027695,-2.04964492159712,1.94079804961328,FALSE,0.893,1.23494072420718,-1.81472305133702,4.16192667013934,FALSE,0.377
"OSCC/cancer vs non-cancer","meta_regression_OCT_platform_protocol","Standard structural / SD-OCT vs Portable / point-of-care OCT",0.180487662682176,-1.55012068738834,2.1227833517925,FALSE,0.82,0.415169099756541,-2.45650060002643,3.22716332829667,FALSE,0.763
"OSCC/cancer vs non-cancer","meta_regression_OCT_platform_protocol","Swept-source OCT vs Portable / point-of-care OCT",1.02991857694544,-0.429522942487043,2.57410599867351,FALSE,0.153,1.25835875649299,-1.0478413135722,3.53652911542433,FALSE,0.264
"OSCC/cancer vs non-cancer","meta_regression_biopsy_site_matching","High vs Moderate",-0.80425544995272,-2.1690110004986,0.548539768015301,FALSE,0.242,0.745180565708675,-1.37292425476248,2.92840245097105,FALSE,0.456
"OSCC/cancer vs non-cancer","meta_regression_biopsy_site_matching","Low / unclear vs Moderate",-0.477347295617979,-2.83778567163965,1.7057464108214,FALSE,0.632,-0.607735708006636,-3.94146141726452,2.74261682220621,FALSE,0.668
"OSCC/cancer vs non-cancer","meta_regression_publication_year","≤2012 vs 2021+",0.102252671645665,-2.04358638802079,2.32227002551295,FALSE,0.915,0.579167388597908,-2.15504797162592,3.33836379996035,FALSE,0.685
"OSCC/cancer vs non-cancer","meta_regression_publication_year","2013–2020 vs 2021+",0.497924803767311,-1.39942548978515,2.46820432235875,FALSE,0.58,0.558353005181752,-2.27193312913867,3.80148989031304,FALSE,0.728
"OSCC/cancer vs non-cancer","meta_regression_AI_model_type","Classical ML / ANN vs CNN / deep residual",0.573988779118821,-1.18601402442852,2.43009368313075,FALSE,0.453,2.3684582575031,0.0516833950284282,4.56477076577794,TRUE,0.048
"OSCC/cancer vs non-cancer","meta_regression_AI_model_type","Hybrid / unclear vs CNN / deep residual",-0.247488847176509,-1.52364420859189,1.05149911979484,FALSE,0.677,0.564703631771701,-0.432364843245239,1.54590688241982,FALSE,0.26
"OSCC/cancer vs non-cancer","meta_regression_AI_model_type","Not applicable vs CNN / deep residual",1.41263837158433,-4.95639255933593,7.51268321010996,FALSE,0.641,2.25117842794157,-3.9232019395396,8.65250663029943,FALSE,0.488
"OSCC/cancer vs non-cancer","meta_regression_AI_model_type","Rule-based / threshold / engineered vs CNN / deep residual",1.35144434132722,-4.95872570751728,7.53894566150575,FALSE,0.671,1.33693924464222,-5.06653446746007,7.71443932139233,FALSE,0.667
"OSCC/cancer vs non-cancer","meta_regression_internal_external_validation","Not applicable vs Internal only",-0.36795863557354,-2.04693914823107,1.35432158657153,FALSE,0.624,1.69091649704011,-0.714652784745107,4.44069922148132,FALSE,0.159
"OSCC/cancer vs non-cancer","meta_regression_region_income","Non-Asia vs Asia",-0.064006821178301,-3.06725580989633,2.81145537308664,FALSE,0.981,0.554679436960739,-3.97946557022732,4.80251888836385,FALSE,0.765
"OSCC/cancer vs non-cancer","meta_regression_region_income","Unclear / mixed vs Asia",0.000881479899332302,-1.60187781444343,1.64075353738051,FALSE,0.998,0.104972253683902,-2.11259195825293,2.41419889825905,FALSE,0.924
"Dysplasia/OPMD vs non-dysplasia/normal","meta_regression_interpretation_pathway","Automated non-DL vs AI / deep learning",-0.533548731939983,-3.60373807686546,2.90683348429304,FALSE,0.714,0.280010505749725,-3.22093343209463,4.04033853495518,FALSE,0.899
"Dysplasia/OPMD vs non-dysplasia/normal","meta_regression_interpretation_pathway","Clinician vs AI / deep learning",1.20768753571599,-5.094699435497,7.71161924668834,FALSE,0.708,0.989926010846245,-5.33642028010828,7.33688260315783,FALSE,0.794
"Dysplasia/OPMD vs non-dysplasia/normal","meta_regression_in_vivo_ex_vivo","Ex vivo vs In vivo",1.33309623009133,-0.825302521157697,3.4950568628718,FALSE,0.187,1.16113785431859,-1.47051127131478,3.66757015873637,FALSE,0.321
"Dysplasia/OPMD vs non-dysplasia/normal","meta_regression_per_patient_per_lesion","Image/patch-level vs Lesion/site-level",2.43034304570017,-0.135503226757099,5.17892487606941,FALSE,0.057,2.77492639924499,-0.409557935371817,5.59572244972542,FALSE,0.078
"Dysplasia/OPMD vs non-dysplasia/normal","meta_regression_per_patient_per_lesion","Patient-level vs Lesion/site-level",0.220485893928776,-2.75386062443652,3.18256221777514,FALSE,0.911,1.76189783163759,-1.32264546583698,5.1860335921072,FALSE,0.273
"Dysplasia/OPMD vs non-dysplasia/normal","meta_regression_center_type","Single-center vs Multicenter / multisetting",1.61572585845837,-0.588142439250212,3.78924598850211,FALSE,0.136,2.09480834043438,-0.615315888785158,4.47696725399113,FALSE,0.102
"Dysplasia/OPMD vs non-dysplasia/normal","meta_regression_OCT_platform_protocol","Other / custom / unclear vs Portable / point-of-care OCT",1.64801156833758,-0.875446816969083,4.13335413805733,FALSE,0.195,0.775380124689649,-2.15128735583193,3.67593595481327,FALSE,0.583
"Dysplasia/OPMD vs non-dysplasia/normal","meta_regression_OCT_platform_protocol","Swept-source OCT vs Portable / point-of-care OCT",0.920977854189939,-1.28075830317154,2.99222317728915,FALSE,0.344,1.54436168437396,-1.08135779676605,3.85760417110637,FALSE,0.219
"Dysplasia/OPMD vs non-dysplasia/normal","meta_regression_biopsy_site_matching","High vs Moderate",0.968235222504088,-1.25230474266161,3.00745534723545,FALSE,0.354,0.0234880086968402,-2.46307245392323,2.37536494437013,FALSE,0.96
"Dysplasia/OPMD vs non-dysplasia/normal","meta_regression_publication_year","≤2012 vs 2021+",-0.041960661825286,-3.85338792608141,3.91043863856816,FALSE,0.98,-0.454326770494281,-4.45938589673679,3.75835322835757,FALSE,0.777
"Dysplasia/OPMD vs non-dysplasia/normal","meta_regression_publication_year","2013–2020 vs 2021+",-0.165804149170112,-2.70342927722327,2.52617277134861,FALSE,0.904,-0.156888017641916,-2.94338455892299,2.92995054067677,FALSE,0.892
