"Stratum","Excluded","Arm","Se_mean","Se_lo","Se_hi","Sp_mean","Sp_lo","Sp_hi","Full_Se","Full_Sp"
"OSCC/cancer vs non-cancer","Jerjes_2026_JCM","AI / DL",0.913575157223152,0.827262024739118,0.96718827671857,0.920188751905658,0.76697138135966,0.984044998173274,0.914848043401851,0.92142677472859
"OSCC/cancer vs non-cancer","Jerjes_2026_JCM","Clinician",0.924206153018116,0.806079965023688,0.983277283360439,0.974741780019479,0.87340797941222,0.998574481316686,0.943057942911164,0.979057239919824
"OSCC/cancer vs non-cancer","Jerjes_2026_JCM","Automated non-DL",0.940912047680449,0.874578541491896,0.97704711421209,0.91570927448296,0.763202919982728,0.983123920253322,0.941855056577464,0.916560000660229
"OSCC/cancer vs non-cancer","Panzarella_2024","AI / DL",0.914843719126563,0.81808767262915,0.966533620981459,0.924002294569636,0.780170830346108,0.984561590542668,0.914848043401851,0.92142677472859
"OSCC/cancer vs non-cancer","Panzarella_2024","Clinician",0.955704521409201,0.859671653343966,0.993241488690505,0.96498235840127,0.826996296714006,0.998421256536758,0.943057942911164,0.979057239919824
"OSCC/cancer vs non-cancer","Panzarella_2024","Automated non-DL",0.942098169365328,0.867760414543445,0.978067493183611,0.917449568205663,0.762442682135218,0.980890091431648,0.941855056577464,0.916560000660229
"OSCC/cancer vs non-cancer","Zhou_2024_BMC","AI / DL",0.914074805675289,0.80795311033261,0.970164756861633,0.920332116893908,0.777717517636014,0.983655669407581,0.914848043401851,0.92142677472859
"OSCC/cancer vs non-cancer","Zhou_2024_BMC","Clinician",0.945660550766209,0.853281140456707,0.987619018876625,0.976723705979386,0.912092988908525,0.997871149279823,0.943057942911164,0.979057239919824
"OSCC/cancer vs non-cancer","Zhou_2024_BMC","Automated non-DL",0.942956353411688,0.855061577081903,0.982432546491686,0.903746530432952,0.704138448505842,0.981328587180102,0.941855056577464,0.916560000660229
"OSCC/cancer vs non-cancer","Yang_2023_Biomedicines","AI / DL",0.924354914641421,0.822612439817887,0.978300633209292,0.901894272472013,0.712032962956705,0.982546368813733,0.914848043401851,0.92142677472859
"OSCC/cancer vs non-cancer","Yang_2023_Biomedicines","Clinician",0.938691701232672,0.851958577239546,0.986371490369177,0.978301317398204,0.909117173123393,0.997877779861165,0.943057942911164,0.979057239919824
"OSCC/cancer vs non-cancer","Yang_2023_Biomedicines","Automated non-DL",0.943810601150137,0.872208443284301,0.980095750812017,0.9097395042529,0.732900225501858,0.982200470405464,0.941855056577464,0.916560000660229
"OSCC/cancer vs non-cancer","Yang_2022","AI / DL",0.890292438071081,0.798677928263231,0.948791029221601,0.879873939325873,0.66823365982815,0.974236968514029,0.914848043401851,0.92142677472859
"OSCC/cancer vs non-cancer","Yang_2022","Clinician",0.93845684280108,0.875197047196441,0.980326472891638,0.980708045311837,0.92580998286002,0.998096306044936,0.943057942911164,0.979057239919824
"OSCC/cancer vs non-cancer","Yang_2022","Automated non-DL",0.942905420580426,0.89715329703937,0.972241202507276,0.908427554420076,0.784774739525889,0.976958579854619,0.941855056577464,0.916560000660229
"OSCC/cancer vs non-cancer","Yuan_2022","AI / DL",0.913391491480779,0.780907969686561,0.975411150369628,0.929201632302099,0.777166010897129,0.990937497143504,0.914848043401851,0.92142677472859
