"Stratum","Metric","Mean","Lo95","Hi95"
"OSCC/cancer vs non-cancer","Tau Se",0.542431073195089,0.0483893878379327,1.37704668143358
"OSCC/cancer vs non-cancer","Tau Sp",1.06549497035458,0.119359271379549,1.88679248669333
"OSCC/cancer vs non-cancer","SD within-study Se",0.481842733450943,0.0102239158808381,1.34671513274775
"OSCC/cancer vs non-cancer","SD within-study Sp",0.748944449043033,0.0569973898559994,1.79404793211554
"OSCC/cancer vs non-cancer","I2 Se",0.0988398957217795,0.000711235366982346,0.365640453663755
"OSCC/cancer vs non-cancer","I2 Sp",0.260723412420382,0.00431178637799685,0.519717033890972
"Dysplasia/OPMD vs non-dysplasia/normal","Tau Se",0.703170080969518,0.0349489154736405,1.77719454667646
"Dysplasia/OPMD vs non-dysplasia/normal","Tau Sp",0.991124369548839,0.0266246201827348,1.90327540183802
"Dysplasia/OPMD vs non-dysplasia/normal","SD within-study Se",0.800469797293642,0.0258488079977732,1.80733893603462
"Dysplasia/OPMD vs non-dysplasia/normal","SD within-study Sp",0.969067291974423,0.101600017544706,1.90091812967475
"Dysplasia/OPMD vs non-dysplasia/normal","I2 Se",0.149880692319784,0.00037113467385069,0.489807552937071
"Dysplasia/OPMD vs non-dysplasia/normal","I2 Sp",0.239943747758762,0.000215445869293057,0.52405768680736
